Time StampA(Clone)_x,A(Clone)_y,A(Clone)_z
20240313_230802,0.1059999,-9.607573,-0.204
20240313_230802,0.1059999,-9.612176,-0.204
20240313_230802,0.1059999,-9.608862,-0.204
20240313_230802,0.1059999,-9.607469,-0.204
20240313_230802,0.1059999,-9.606078,-0.204
20240313_230802,0.1059999,-9.604384,-0.204
20240313_230802,0.1059999,-9.603096,-0.204
20240313_230802,0.1059999,-9.602186,-0.204
20240313_230802,0.1059999,-9.600804,-0.204
20240313_230802,0.1059999,-9.600072,-0.204
20240313_230802,0.1059999,-9.599225,-0.204
20240313_230802,0.1059999,-9.598695,-0.204
20240313_230802,0.1059999,-9.598263,-0.204
20240313_230802,0.1059999,-9.597932,-0.204
20240313_230802,0.1059999,-9.597707,-0.204
20240313_230802,0.1059999,-9.597575,-0.204
20240313_230802,0.1059999,-9.597605,-0.204
20240313_230802,0.1059999,-9.597743,-0.204
20240313_230802,0.1059999,-9.597989,-0.204
20240313_230802,0.1059999,-9.59834,-0.204
20240313_230802,0.1059999,-9.598965,-0.204
20240313_230803,0.1059999,-9.599544,-0.204
20240313_230803,0.1059999,-9.600211,-0.204
20240313_230803,0.1059999,-9.600959,-0.204
20240313_230803,0.1059999,-9.601779,-0.204
20240313_230803,0.1059999,-9.602969,-0.204
20240313_230803,0.1059999,-9.604581,-0.204
20240313_230803,0.1059999,-9.605938,-0.204
20240313_230803,0.1059999,-9.607327,-0.204
20240313_230803,0.1059999,-9.609067,-0.204
20240313_230803,0.1059999,-9.610429,-0.204
20240313_230803,0.1059999,-9.611734,-0.204
20240313_230803,0.1059999,-9.612662,-0.204
20240313_230803,0.1059999,-9.613811,-0.204
20240313_230803,0.1059999,-9.614594,-0.204
20240313_230803,0.1059999,-9.615516,-0.204
20240313_230803,0.1059999,-9.616108,-0.204
20240313_230803,0.1059999,-9.616606,-0.204
20240313_230803,0.1059999,-9.617115,-0.204
20240313_230803,0.1059999,-9.617375,-0.204
20240313_230803,0.1059999,-9.617555,-0.204
20240313_230803,0.1059999,-9.61754,-0.204
20240313_230803,0.1059999,-9.617332,-0.204
20240313_230804,0.1059999,-9.616514,-0.204
20240313_230805,0.1059999,-9.608167,-0.204
20240313_230805,0.1059999,-9.601335,-0.204
20240313_230805,0.1059999,-9.598539,-0.204
20240313_230805,0.1059999,-9.597656,-0.204
20240313_230805,0.1059999,-9.597605,-0.204
20240313_230805,0.1059999,-9.598211,-0.204
20240313_230805,0.1059999,-9.59934,-0.204
20240313_230805,0.1059999,-9.600701,-0.204
20240313_230805,0.1059999,-9.602362,-0.204
20240313_230805,0.1059999,-9.60425,-0.204
20240313_230805,0.1059999,-9.604916,-0.204
20240313_230805,0.1059999,-9.605938,-0.204
20240313_230805,0.1059999,-9.606978,-0.204
20240313_230805,0.1059999,-9.608026,-0.204
20240313_230806,0.1059999,-9.609753,-0.204
20240313_230806,0.1059999,-9.611734,-0.204
20240313_230806,0.1059999,-9.61325,-0.204
20240313_230806,0.1059999,-9.614594,-0.204
20240313_230806,0.1059999,-9.615299,-0.204
20240313_230806,0.1059999,-9.615724,-0.204
20240313_230806,0.1059999,-9.616284,-0.204
20240313_230806,0.1059999,-9.616606,-0.204
20240313_230806,0.1059999,-9.617213,-0.204
20240313_230806,0.1059999,-9.617438,-0.204
20240313_230806,0.1059999,-9.617528,-0.204
20240313_230806,0.1059999,-9.617572,-0.204
20240313_230806,0.1059999,-9.617506,-0.204
20240313_230806,0.1059999,-9.617156,-0.204
20240313_230806,0.1059999,-9.616805,-0.204
20240313_230806,0.1059999,-9.616514,-0.204
20240313_230806,0.1059999,-9.615997,-0.204
20240313_230806,0.1059999,-9.615602,-0.204
20240313_230806,0.1059999,-9.614444,-0.204
20240313_230806,0.1059999,-9.612482,-0.204
20240313_230806,0.1059999,-9.611863,-0.204
20240313_230806,0.1059999,-9.610229,-0.204
20240313_230806,0.1059999,-9.609207,-0.204
20240313_230806,0.1059999,-9.608515,-0.204
20240313_230806,0.1059999,-9.607818,-0.204
20240313_230806,0.1059999,-9.606771,-0.204
20240313_230806,0.1059999,-9.605392,-0.204
20240313_230806,0.1059999,-9.604716,-0.204
20240313_230807,0.1059999,-9.604055,-0.204
20240313_230807,0.1059999,-9.603096,-0.204
20240313_230807,0.1059999,-9.602186,-0.204
20240313_230807,0.1059999,-9.601066,-0.204
20240313_230807,0.1059999,-9.600072,-0.204
20240313_230807,0.1059999,-9.599629,-0.204
20240313_230807,0.1059999,-9.599225,-0.204
20240313_230807,0.1059999,-9.598861,-0.204
20240313_230807,0.1059999,-9.598263,-0.204
20240313_230807,0.1059999,-9.597932,-0.204
20240313_230807,0.1059999,-9.59777,-0.204
20240313_230807,0.1059999,-9.597656,-0.204
20240313_230807,0.1059999,-9.597583,-0.204
20240313_230807,0.1059999,-9.597743,-0.204
20240313_230807,0.1059999,-9.598095,-0.204
20240313_230807,0.1059999,-9.598792,-0.204
20240313_230807,0.1059999,-9.599148,-0.204
20240313_230807,0.1059999,-9.599979,-0.204
20240313_230807,0.1059999,-9.600959,-0.204
20240313_230807,0.1059999,-9.601498,-0.204
20240313_230807,0.1059999,-9.602362,-0.204
20240313_230807,0.1059999,-9.602969,-0.204
20240313_230807,0.1059999,-9.603923,-0.204
20240313_230807,0.1059999,-9.604916,-0.204
20240313_230807,0.1059999,-9.605595,-0.204
20240313_230807,0.1059999,-9.60663,-0.204
20240313_230807,0.1059999,-9.607327,-0.204
20240313_230807,0.1059999,-9.608026,-0.204
20240313_230807,0.1059999,-9.609411,-0.204
20240313_230808,0.1059999,-9.610429,-0.204
20240313_230808,0.1059999,-9.612049,-0.204
20240313_230808,0.1059999,-9.61325,-0.204
20240313_230808,0.1059999,-9.614594,-0.204
20240313_230808,0.1059999,-9.615516,-0.204
20240313_230808,0.1059999,-9.61592,-0.204
20240313_230808,0.1059999,-9.61645,-0.204
20240313_230808,0.1059999,-9.617115,-0.204
20240313_230808,0.1059999,-9.6173,-0.204
20240313_230808,0.1059999,-9.617438,-0.204
20240313_230808,0.1059999,-9.617572,-0.204
20240313_230808,0.1059999,-9.61746,-0.204
20240313_230808,0.1059999,-9.61705,-0.204
20240313_230808,0.1059999,-9.616514,-0.204
20240313_230808,0.1059999,-9.615997,-0.204
20240313_230808,0.1059999,-9.615166,-0.204
20240313_230808,0.1059999,-9.614694,-0.204
20240313_230808,0.1059999,-9.614186,-0.204
20240313_230808,0.1059999,-9.613366,-0.204
20240313_230808,0.1059999,-9.612783,-0.204
20240313_230808,0.1059999,-9.612176,-0.204
20240313_230808,0.1059999,-9.610895,-0.204
20240313_230808,0.1059999,-9.609891,-0.204
20240313_230808,0.1059999,-9.609207,-0.204
20240313_230808,0.1059999,-9.608515,-0.204
20240313_230808,0.1059999,-9.607818,-0.204
20240313_230808,0.1059999,-9.60712,-0.204
20240313_230808,0.1059999,-9.605734,-0.204
20240313_230808,0.1059999,-9.605053,-0.204
20240313_230809,0.1059999,-9.604055,-0.204
20240313_230809,0.1059999,-9.603411,-0.204
20240313_230809,0.1059999,-9.602483,-0.204
20240313_230809,0.1059999,-9.601335,-0.204
20240313_230809,0.1059999,-9.600552,-0.204
20240313_230809,0.1059999,-9.600072,-0.204
20240313_230809,0.1059999,-9.599629,-0.204
20240313_230809,0.1059999,-9.599225,-0.204
20240313_230809,0.1059999,-9.598861,-0.204
20240313_230809,0.1059999,-9.598263,-0.204
20240313_230809,0.1059999,-9.59803,-0.204
20240313_230809,0.1059999,-9.59777,-0.204
20240313_230809,0.1059999,-9.597656,-0.204
20240313_230809,0.1059999,-9.59759,-0.204
20240313_230809,0.1059999,-9.597583,-0.204
20240313_230809,0.1059999,-9.597685,-0.204
20240313_230809,0.1059999,-9.597896,-0.204
20240313_230809,0.1059999,-9.598095,-0.204
20240313_230809,0.1059999,-9.59834,-0.204
20240313_230809,0.1059999,-9.598792,-0.204
20240313_230809,0.1059999,-9.59934,-0.204
20240313_230809,0.1059999,-9.599979,-0.204
20240313_230809,0.1059999,-9.600701,-0.204
20240313_230809,0.1059999,-9.601225,-0.204
20240313_230809,0.1059999,-9.601779,-0.204
20240313_230809,0.1059999,-9.602362,-0.204
20240313_230809,0.1059999,-9.603282,-0.204
20240313_230809,0.1059999,-9.604581,-0.204
20240313_230809,0.1059999,-9.605254,-0.204
20240313_230809,0.1059999,-9.605938,-0.204
20240313_230809,0.1059999,-9.606978,-0.204
20240313_230809,0.1059999,-9.607677,-0.204
20240313_230809,0.1059999,-9.608374,-0.204
20240313_230809,0.1059999,-9.609753,-0.204
20240313_230809,0.1059999,-9.610761,-0.204
20240313_230810,0.1059999,-9.611734,-0.204
20240313_230810,0.1059999,-9.612358,-0.204
20240313_230810,0.1059999,-9.61325,-0.204
20240313_230810,0.1059999,-9.614341,-0.204
20240313_230810,0.1059999,-9.615073,-0.204
20240313_230810,0.1059999,-9.615724,-0.204
20240313_230810,0.1059999,-9.61645,-0.204
20240313_230810,0.1059999,-9.617004,-0.204
20240313_230810,0.1059999,-9.617213,-0.204
20240313_230810,0.1059999,-9.617438,-0.204
20240313_230810,0.1059999,-9.61757,-0.204
20240313_230810,0.1059999,-9.617506,-0.204
20240313_230810,0.1059999,-9.617156,-0.204
20240313_230810,0.1059999,-9.616665,-0.204
