Time Stamp,Round1-Sol-A554_x,Round1-Sol-A554_y,Round1-Sol-A554_z
20240313_233934,-0.404,-9.623013,-1.064
20240313_233934,-0.404,-9.630549,-1.064
20240313_233934,-0.404,-9.632343,-1.064
20240313_233934,-0.404,-9.632827,-1.064
20240313_233934,-0.404,-9.633012,-1.064
20240313_233934,-0.404,-9.632833,-1.064
20240313_233934,-0.404,-9.632356,-1.064
20240313_233934,-0.404,-9.631767,-1.064
20240313_233934,-0.404,-9.63101,-1.064
20240313_233935,-0.404,-9.630096,-1.064
20240313_233935,-0.404,-9.628763,-1.064
20240313_233935,-0.404,-9.627254,-1.064
20240313_233935,-0.404,-9.625953,-1.064
20240313_233935,-0.404,-9.624938,-1.064
20240313_233935,-0.404,-9.623553,-1.064
20240313_233935,-0.404,-9.622158,-1.064
20240313_233935,-0.404,-9.62078,-1.064
20240313_233935,-0.404,-9.619122,-1.064
20240313_233935,-0.404,-9.617877,-1.064
20240313_233935,-0.404,-9.616734,-1.064
20240313_233935,-0.404,-9.615478,-1.064
20240313_233935,-0.404,-9.61445,-1.064
20240313_233935,-0.404,-9.613684,-1.064
20240313_233935,-0.404,-9.613274,-1.064
20240313_233935,-0.404,-9.613053,-1.064
20240313_233935,-0.404,-9.613027,-1.064
20240313_233935,-0.404,-9.613194,-1.064
20240313_233935,-0.404,-9.613553,-1.064
20240313_233935,-0.404,-9.61426,-1.064
20240313_233935,-0.404,-9.615017,-1.064
20240313_233936,-0.404,-9.616181,-1.064
20240313_233936,-0.404,-9.617264,-1.064
20240313_233936,-0.404,-9.618773,-1.064
20240313_233936,-0.404,-9.620074,-1.064
20240313_233936,-0.404,-9.622126,-1.064
20240313_233936,-0.404,-9.623869,-1.064
20240313_233936,-0.404,-9.625247,-1.064
20240313_233936,-0.404,-9.626905,-1.064
20240313_233936,-0.404,-9.62815,-1.064
20240313_233936,-0.404,-9.630073,-1.064
20240313_233936,-0.404,-9.631392,-1.064
20240313_233936,-0.404,-9.63207,-1.064
20240313_233936,-0.404,-9.632668,-1.064
20240313_233936,-0.404,-9.632936,-1.064
20240313_233936,-0.404,-9.633,-1.064
20240313_233936,-0.404,-9.632761,-1.064
20240313_233936,-0.404,-9.632356,-1.064
20240313_233936,-0.404,-9.631594,-1.064
20240313_233936,-0.404,-9.630795,-1.064
20240313_233937,-0.404,-9.629846,-1.064
20240313_233937,-0.404,-9.628763,-1.064
20240313_233937,-0.404,-9.627254,-1.064
20240313_233937,-0.404,-9.625618,-1.064
20240313_233937,-0.404,-9.623901,-1.064
20240313_233937,-0.404,-9.622158,-1.064
20240313_233937,-0.404,-9.620106,-1.064
20240313_233937,-0.404,-9.618488,-1.064
20240313_233937,-0.404,-9.617008,-1.064
20240313_233937,-0.404,-9.615478,-1.064
20240313_233937,-0.404,-9.614275,-1.064
20240313_233937,-0.404,-9.613564,-1.064
20240313_233937,-0.404,-9.613091,-1.064
20240313_233937,-0.404,-9.613015,-1.064
20240313_233937,-0.404,-9.613266,-1.064
20240313_233937,-0.404,-9.613802,-1.064
20240313_233937,-0.404,-9.614433,-1.064
20240313_233937,-0.404,-9.615232,-1.064
20240313_233938,-0.404,-9.616181,-1.064
