Time Stamp,Round1-Sol-V826_x,Round1-Sol-V826_y,Round1-Sol-V826_z
20240313_233934,-1.424,-10.24272,-0.634
20240313_233934,-1.424,-10.25204,-0.634
20240313_233934,-1.424,-10.25272,-0.634
20240313_233934,-1.424,-10.25261,-0.634
20240313_233934,-1.424,-10.25207,-0.634
20240313_233934,-1.424,-10.25132,-0.634
20240313_233934,-1.424,-10.2503,-0.634
20240313_233934,-1.424,-10.24932,-0.634
20240313_233934,-1.424,-10.2482,-0.634
20240313_233935,-1.424,-10.24699,-0.634
20240313_233935,-1.424,-10.24535,-0.634
20240313_233935,-1.424,-10.24364,-0.634
20240313_233935,-1.424,-10.24224,-0.634
20240313_233935,-1.424,-10.2412,-0.634
20240313_233935,-1.424,-10.23984,-0.634
20240313_233935,-1.424,-10.23853,-0.634
20240313_233935,-1.424,-10.23731,-0.634
20240313_233935,-1.424,-10.23593,-0.634
20240313_233935,-1.424,-10.23498,-0.634
20240313_233935,-1.424,-10.23417,-0.634
20240313_233935,-1.424,-10.2334,-0.634
20240313_233935,-1.424,-10.23291,-0.634
20240313_233935,-1.424,-10.23273,-0.634
20240313_233935,-1.424,-10.23279,-0.634
20240313_233935,-1.424,-10.23305,-0.634
20240313_233935,-1.424,-10.2335,-0.634
20240313_233935,-1.424,-10.23413,-0.634
20240313_233935,-1.424,-10.23492,-0.634
20240313_233935,-1.424,-10.23613,-0.634
20240313_233935,-1.424,-10.23724,-0.634
20240313_233936,-1.424,-10.23878,-0.634
20240313_233936,-1.424,-10.24009,-0.634
20240313_233936,-1.424,-10.24181,-0.634
20240313_233936,-1.424,-10.2432,-0.634
20240313_233936,-1.424,-10.24527,-0.634
20240313_233936,-1.424,-10.24691,-0.634
20240313_233936,-1.424,-10.24813,-0.634
20240313_233936,-1.424,-10.24951,-0.634
20240313_233936,-1.424,-10.25047,-0.634
20240313_233936,-1.424,-10.25177,-0.634
20240313_233936,-1.424,-10.25246,-0.634
20240313_233936,-1.424,-10.25268,-0.634
20240313_233936,-1.424,-10.25269,-0.634
20240313_233936,-1.424,-10.25248,-0.634
20240313_233936,-1.424,-10.25194,-0.634
20240313_233936,-1.424,-10.25113,-0.634
20240313_233936,-1.424,-10.2503,-0.634
20240313_233936,-1.424,-10.24905,-0.634
20240313_233936,-1.424,-10.24791,-0.634
20240313_233937,-1.424,-10.24667,-0.634
20240313_233937,-1.424,-10.24535,-0.634
20240313_233937,-1.424,-10.24364,-0.634
20240313_233937,-1.424,-10.24189,-0.634
20240313_233937,-1.424,-10.24018,-0.634
