Time Stamp,Round2-NonSol-A614_x,Round2-NonSol-A614_y,Round2-NonSol-A614_z
20240313_234002,-2.444,-10.55718,-0.204
20240313_234002,-2.444,-10.55718,-0.204
20240313_234002,-2.444,-10.55718,-0.204
20240313_234002,-2.444,-10.55718,-0.204
20240313_234002,-2.444,-10.55718,-0.204
20240313_234002,-2.444,-10.55718,-0.204
20240313_234002,-2.444,-10.55718,-0.204
20240313_234002,-2.444,-10.55718,-0.204
20240313_234002,-2.444,-10.55718,-0.204
20240313_234002,-2.444,-10.55718,-0.204
20240313_234002,-2.444,-10.55718,-0.204
20240313_234002,-2.444,-10.55718,-0.204
20240313_234002,-2.444,-10.55718,-0.204
20240313_234002,-2.444,-10.55718,-0.204
20240313_234002,-2.444,-10.55718,-0.204
20240313_234002,-2.444,-10.55718,-0.204
20240313_234002,-2.444,-10.55718,-0.204
20240313_234002,-2.444,-10.55718,-0.204
20240313_234003,-2.444,-10.55718,-0.204
20240313_234003,-2.444,-10.55718,-0.204
20240313_234003,-2.444,-10.55718,-0.204
20240313_234003,-2.444,-10.55718,-0.204
20240313_234003,-2.444,-10.55718,-0.204
20240313_234003,-2.444,-10.55718,-0.204
20240313_234003,-2.444,-10.55718,-0.204
20240313_234003,-2.444,-10.55718,-0.204
20240313_234003,-2.444,-10.55718,-0.204
20240313_234003,-2.444,-10.55718,-0.204
20240313_234003,-2.444,-10.55718,-0.204
20240313_234003,-2.444,-10.55718,-0.204
20240313_234003,-2.444,-10.55718,-0.204
20240313_234003,-2.444,-10.55718,-0.204
20240313_234003,-2.444,-10.55718,-0.204
20240313_234003,-2.444,-10.55718,-0.204
20240313_234003,-2.444,-10.55718,-0.204
20240313_234003,-2.444,-10.55718,-0.204
20240313_234003,-2.444,-10.55718,-0.204
20240313_234004,-2.444,-10.55718,-0.204
20240313_234004,-2.444,-10.55718,-0.204
20240313_234004,-2.444,-10.55718,-0.204
20240313_234004,-2.444,-10.55718,-0.204
20240313_234004,-2.444,-10.55718,-0.204
20240313_234004,-2.444,-10.55718,-0.204
20240313_234004,-2.444,-10.55718,-0.204
20240313_234004,-2.444,-10.55718,-0.204
20240313_234004,-2.444,-10.55718,-0.204
20240313_234004,-2.444,-10.55718,-0.204
20240313_234004,-2.444,-10.55718,-0.204
20240313_234004,-2.444,-10.55718,-0.204
20240313_234004,-2.444,-10.55718,-0.204
20240313_234004,-2.444,-10.55718,-0.204
20240313_234004,-2.444,-10.55718,-0.204
20240313_234004,-2.444,-10.55718,-0.204
20240313_234004,-2.444,-10.55718,-0.204
20240313_234004,-2.444,-10.55718,-0.204
20240313_234004,-2.444,-10.55718,-0.204
20240313_234004,-2.444,-10.55718,-0.204
