Time Stamp,Round2-NonSol-B213_x,Round2-NonSol-B213_y,Round2-NonSol-B213_z
20240313_234002,-0.914,-10.35683,-1.064
20240313_234002,-0.914,-10.35683,-1.064
20240313_234002,-0.914,-10.35683,-1.064
20240313_234002,-0.914,-10.35683,-1.064
20240313_234002,-0.914,-10.35683,-1.064
20240313_234002,-0.914,-10.35683,-1.064
20240313_234002,-0.914,-10.35683,-1.064
20240313_234002,-0.914,-10.35683,-1.064
20240313_234002,-0.914,-10.35683,-1.064
20240313_234002,-0.914,-10.35683,-1.064
20240313_234002,-0.914,-10.35683,-1.064
20240313_234002,-0.914,-10.35683,-1.064
20240313_234002,-0.914,-10.35683,-1.064
20240313_234002,-0.914,-10.35683,-1.064
20240313_234002,-0.914,-10.35683,-1.064
20240313_234002,-0.914,-10.35683,-1.064
20240313_234002,-0.914,-10.35683,-1.064
20240313_234002,-0.914,-10.35683,-1.064
20240313_234003,-0.914,-10.35683,-1.064
20240313_234003,-0.914,-10.35683,-1.064
20240313_234003,-0.914,-10.35683,-1.064
20240313_234003,-0.914,-10.35683,-1.064
20240313_234003,-0.914,-10.35683,-1.064
20240313_234003,-0.914,-10.35683,-1.064
20240313_234003,-0.914,-10.35683,-1.064
20240313_234003,-0.914,-10.35683,-1.064
20240313_234003,-0.914,-10.35683,-1.064
20240313_234003,-0.914,-10.35683,-1.064
20240313_234003,-0.914,-10.35683,-1.064
20240313_234003,-0.914,-10.35683,-1.064
20240313_234003,-0.914,-10.35683,-1.064
20240313_234003,-0.914,-10.35683,-1.064
20240313_234003,-0.914,-10.35683,-1.064
20240313_234003,-0.914,-10.35683,-1.064
20240313_234003,-0.914,-10.35683,-1.064
20240313_234003,-0.914,-10.35683,-1.064
20240313_234003,-0.914,-10.35683,-1.064
20240313_234004,-0.914,-10.35683,-1.064
20240313_234004,-0.914,-10.35683,-1.064
20240313_234004,-0.914,-10.35683,-1.064
20240313_234004,-0.914,-10.35683,-1.064
20240313_234004,-0.914,-10.35683,-1.064
20240313_234004,-0.914,-10.35683,-1.064
20240313_234004,-0.914,-10.35683,-1.064
20240313_234004,-0.914,-10.35683,-1.064
20240313_234004,-0.914,-10.35683,-1.064
20240313_234004,-0.914,-10.35683,-1.064
20240313_234004,-0.914,-10.35683,-1.064
20240313_234004,-0.914,-10.35683,-1.064
20240313_234004,-0.914,-10.35683,-1.064
20240313_234004,-0.914,-10.35683,-1.064
20240313_234004,-0.914,-10.35683,-1.064
20240313_234004,-0.914,-10.35683,-1.064
20240313_234004,-0.914,-10.35683,-1.064
20240313_234004,-0.914,-10.35683,-1.064
20240313_234004,-0.914,-10.35683,-1.064
20240313_234004,-0.914,-10.35683,-1.064
20240313_234004,-0.914,-10.35683,-1.064
20240313_234005,-0.914,-10.35683,-1.064
20240313_234005,-0.914,-10.35683,-1.064
20240313_234005,-0.914,-10.35683,-1.064
20240313_234005,-0.914,-10.35683,-1.064
20240313_234005,-0.914,-10.35683,-1.064
20240313_234005,-0.914,-10.35683,-1.064
20240313_234005,-0.914,-10.35683,-1.064
20240313_234005,-0.914,-10.35683,-1.064
20240313_234005,-0.914,-10.35683,-1.064
20240313_234005,-0.914,-10.35683,-1.064
20240313_234005,-0.914,-10.35683,-1.064
20240313_234005,-0.914,-10.35683,-1.064
20240313_234005,-0.914,-10.35683,-1.064
20240313_234005,-0.914,-10.35683,-1.064
20240313_234005,-0.914,-10.35683,-1.064
20240313_234005,-0.914,-10.35683,-1.064
20240313_234005,-0.914,-10.35683,-1.064
20240313_234005,-0.914,-10.35683,-1.064
20240313_234005,-0.914,-10.35683,-1.064
20240313_234005,-0.914,-10.35683,-1.064
20240313_234005,-0.914,-10.35683,-1.064
20240313_234006,-0.914,-10.35683,-1.064
20240313_234006,-0.914,-10.35683,-1.064
20240313_234006,-0.914,-10.35683,-1.064
20240313_234006,-0.914,-10.35683,-1.064
20240313_234006,-0.914,-10.35683,-1.064
20240313_234006,-0.914,-10.35683,-1.064
20240313_234006,-0.914,-10.35683,-1.064
20240313_234006,-0.914,-10.35683,-1.064
20240313_234006,-0.914,-10.35683,-1.064
20240313_234006,-0.914,-10.35683,-1.064
20240313_234006,-0.914,-10.35683,-1.064
20240313_234006,-0.914,-10.35683,-1.064
20240313_234006,-0.914,-10.35683,-1.064
20240313_234006,-0.914,-10.35683,-1.064
20240313_234006,-0.914,-10.35683,-1.064
20240313_234006,-0.914,-10.35683,-1.064
20240313_234006,-0.914,-10.35683,-1.064
20240313_234006,-0.914,-10.35683,-1.064
20240313_234006,-0.914,-10.35683,-1.064
20240313_234006,-0.914,-10.35683,-1.064
20240313_234006,-0.914,-10.35683,-1.064
20240313_234006,-0.914,-10.35683,-1.064
20240313_234006,-0.914,-10.35683,-1.064
20240313_234006,-0.914,-10.35683,-1.064
20240313_234007,-0.914,-10.35683,-1.064
20240313_234007,-0.914,-10.35683,-1.064
20240313_234007,-0.914,-10.35683,-1.064
20240313_234007,-0.914,-10.35683,-1.064
20240313_234007,-0.914,-10.35683,-1.064
20240313_234007,-0.914,-10.35683,-1.064
20240313_234007,-0.914,-10.35683,-1.064
20240313_234007,-0.914,-10.35683,-1.064
20240313_234007,-0.914,-10.35683,-1.064
20240313_234007,-0.914,-10.35683,-1.064
20240313_234007,-0.914,-10.35683,-1.064
20240313_234007,-0.914,-10.35683,-1.064
20240313_234007,-0.914,-10.35683,-1.064
20240313_234007,-0.914,-10.35683,-1.064
20240313_234007,-0.914,-10.35683,-1.064
20240313_234007,-0.914,-10.35683,-1.064
20240313_234007,-0.914,-10.35683,-1.064
20240313_234007,-0.914,-10.35683,-1.064
20240313_234007,-0.914,-10.35683,-1.064
20240313_234007,-0.914,-10.35683,-1.064
20240313_234007,-0.914,-10.35683,-1.064
20240313_234007,-0.914,-10.35683,-1.064
20240313_234007,-0.914,-10.35683,-1.064
20240313_234007,-0.914,-10.35683,-1.064
20240313_234007,-0.914,-10.35683,-1.064
20240313_234007,-0.914,-10.35683,-1.064
20240313_234007,-0.914,-10.35683,-1.064
20240313_234007,-0.914,-10.35683,-1.064
20240313_234007,-0.914,-10.35683,-1.064
20240313_234007,-0.914,-10.35683,-1.064
20240313_234007,-0.914,-10.35683,-1.064
20240313_234007,-0.914,-10.35683,-1.064
20240313_234007,-0.914,-10.35683,-1.064
20240313_234008,-0.914,-10.35683,-1.064
20240313_234008,-0.914,-10.35683,-1.064
20240313_234008,-0.914,-10.35683,-1.064
20240313_234008,-0.914,-10.35683,-1.064
20240313_234008,-0.914,-10.35683,-1.064
20240313_234008,-0.914,-10.35683,-1.064
20240313_234008,-0.914,-10.35683,-1.064
20240313_234008,-0.914,-10.35683,-1.064
20240313_234008,-0.914,-10.35683,-1.064
20240313_234008,-0.914,-10.35683,-1.064
20240313_234008,-0.914,-10.35683,-1.064
20240313_234008,-0.914,-10.35683,-1.064
20240313_234008,-0.914,-10.35683,-1.064
20240313_234008,-0.914,-10.35683,-1.064
20240313_234008,-0.914,-10.35683,-1.064
20240313_234008,-0.914,-10.35683,-1.064
20240313_234008,-0.914,-10.35683,-1.064
20240313_234008,-0.914,-10.35683,-1.064
20240313_234008,-0.914,-10.35683,-1.064
20240313_234008,-0.914,-10.35683,-1.064
20240313_234008,-0.914,-10.35683,-1.064
20240313_234008,-0.914,-10.35683,-1.064
20240313_234008,-0.914,-10.35683,-1.064
20240313_234008,-0.914,-10.35683,-1.064
20240313_234008,-0.914,-10.35683,-1.064
20240313_234008,-0.914,-10.35683,-1.064
20240313_234008,-0.914,-10.35683,-1.064
20240313_234008,-0.914,-10.35683,-1.064
20240313_234008,-0.914,-10.35683,-1.064
20240313_234008,-0.914,-10.35683,-1.064
20240313_234008,-0.914,-10.35683,-1.064
20240313_234008,-0.914,-10.35683,-1.064
20240313_234008,-0.914,-10.35683,-1.064
20240313_234008,-0.914,-10.35683,-1.064
20240313_234008,-0.914,-10.35683,-1.064
20240313_234009,-0.914,-10.35683,-1.064
20240313_234009,-0.914,-10.35683,-1.064
20240313_234009,-0.914,-10.35683,-1.064
20240313_234009,-0.914,-10.35683,-1.064
20240313_234009,-0.914,-10.35683,-1.064
20240313_234009,-0.914,-10.35683,-1.064
20240313_234009,-0.914,-10.35683,-1.064
20240313_234009,-0.914,-10.35683,-1.064
20240313_234009,-0.914,-10.35683,-1.064
20240313_234009,-0.914,-10.35683,-1.064
20240313_234009,-0.914,-10.35683,-1.064
20240313_234009,-0.914,-10.35683,-1.064
20240313_234009,-0.914,-10.35683,-1.064
20240313_234009,-0.914,-10.35683,-1.064
20240313_234009,-0.914,-10.35683,-1.064
20240313_234009,-0.914,-10.35683,-1.064
20240313_234009,-0.914,-10.35683,-1.064
20240313_234009,-0.914,-10.35683,-1.064
20240313_234009,-0.914,-10.35683,-1.064
20240313_234009,-0.914,-10.35683,-1.064
20240313_234009,-0.914,-10.35683,-1.064
20240313_234009,-0.914,-10.35683,-1.064
20240313_234009,-0.914,-10.35683,-1.064
20240313_234009,-0.914,-10.35683,-1.064
20240313_234009,-0.914,-10.35683,-1.064
20240313_234009,-0.914,-10.35683,-1.064
20240313_234009,-0.914,-10.35683,-1.064
20240313_234009,-0.914,-10.35683,-1.064
20240313_234009,-0.914,-10.35683,-1.064
20240313_234009,-0.914,-10.35683,-1.064
20240313_234009,-0.914,-10.35683,-1.064
20240313_234009,-0.914,-10.35683,-1.064
20240313_234009,-0.914,-10.35683,-1.064
20240313_234009,-0.914,-10.35683,-1.064
20240313_234009,-0.914,-10.35683,-1.064
20240313_234010,-0.914,-10.35683,-1.064
20240313_234010,-0.914,-10.35683,-1.064
20240313_234010,-0.914,-10.35683,-1.064
20240313_234010,-0.914,-10.35683,-1.064
20240313_234010,-0.914,-10.35683,-1.064
20240313_234010,-0.914,-10.35683,-1.064
20240313_234010,-0.914,-10.35683,-1.064
20240313_234010,-0.914,-10.35683,-1.064
20240313_234010,-0.914,-10.35683,-1.064
20240313_234010,-0.914,-10.35683,-1.064
20240313_234010,-0.914,-10.35683,-1.064
20240313_234010,-0.914,-10.35683,-1.064
20240313_234010,-0.914,-10.35683,-1.064
20240313_234010,-0.914,-10.35683,-1.064
20240313_234010,-0.914,-10.35683,-1.064
20240313_234010,-0.914,-10.35683,-1.064
20240313_234010,-0.914,-10.35683,-1.064
20240313_234010,-0.914,-10.35683,-1.064
20240313_234010,-0.914,-10.35683,-1.064
20240313_234010,-0.914,-10.35683,-1.064
20240313_234010,-0.914,-10.35683,-1.064
20240313_234010,-0.914,-10.35683,-1.064
20240313_234010,-0.914,-10.35683,-1.064
20240313_234010,-0.914,-10.35683,-1.064
20240313_234010,-0.914,-10.35683,-1.064
20240313_234010,-0.914,-10.35683,-1.064
20240313_234010,-0.914,-10.35683,-1.064
20240313_234010,-0.914,-10.35683,-1.064
20240313_234010,-0.914,-10.35683,-1.064
20240313_234010,-0.914,-10.35683,-1.064
20240313_234010,-0.914,-10.35683,-1.064
20240313_234010,-0.914,-10.35683,-1.064
20240313_234010,-0.914,-10.35683,-1.064
20240313_234010,-0.914,-10.35683,-1.064
20240313_234011,-0.914,-10.35683,-1.064
20240313_234011,-0.914,-10.35683,-1.064
20240313_234011,-0.914,-10.35683,-1.064
20240313_234011,-0.914,-10.35683,-1.064
20240313_234011,-0.914,-10.35683,-1.064
20240313_234011,-0.914,-10.35683,-1.064
20240313_234011,-0.914,-10.35683,-1.064
20240313_234011,-0.914,-10.35683,-1.064
20240313_234011,-0.914,-10.35683,-1.064
20240313_234011,-0.914,-10.35683,-1.064
20240313_234011,-0.914,-10.35683,-1.064
20240313_234011,-0.914,-10.35683,-1.064
20240313_234011,-0.914,-10.35683,-1.064
20240313_234011,-0.914,-10.35683,-1.064
20240313_234011,-0.914,-10.35683,-1.064
20240313_234011,-0.914,-10.35683,-1.064
20240313_234011,-0.914,-10.35683,-1.064
20240313_234011,-0.914,-10.35683,-1.064
20240313_234011,-0.914,-10.35683,-1.064
20240313_234011,-0.914,-10.35683,-1.064
20240313_234011,-0.914,-10.35683,-1.064
20240313_234011,-0.914,-10.35683,-1.064
20240313_234011,-0.914,-10.35683,-1.064
20240313_234011,-0.914,-10.35683,-1.064
20240313_234011,-0.914,-10.35683,-1.064
20240313_234011,-0.914,-10.35683,-1.064
20240313_234011,-0.914,-10.35683,-1.064
20240313_234011,-0.914,-10.35683,-1.064
20240313_234011,-0.914,-10.35683,-1.064
20240313_234011,-0.914,-10.35683,-1.064
20240313_234011,-0.914,-10.35683,-1.064
20240313_234011,-0.914,-10.35683,-1.064
20240313_234011,-0.914,-10.35683,-1.064
20240313_234011,-0.914,-10.35683,-1.064
20240313_234011,-0.914,-10.35683,-1.064
20240313_234011,-0.914,-10.35683,-1.064
20240313_234012,-0.914,-10.35683,-1.064
20240313_234012,-0.914,-10.35683,-1.064
20240313_234012,-0.914,-10.35683,-1.064
20240313_234012,-0.914,-10.35683,-1.064
20240313_234012,-0.914,-10.35683,-1.064
20240313_234012,-0.914,-10.35683,-1.064
20240313_234012,-0.914,-10.35683,-1.064
20240313_234012,-0.914,-10.35683,-1.064
20240313_234012,-0.914,-10.35683,-1.064
20240313_234012,-0.914,-10.35683,-1.064
20240313_234012,-0.914,-10.35683,-1.064
20240313_234012,-0.914,-10.35683,-1.064
20240313_234012,-0.914,-10.35683,-1.064
20240313_234012,-0.914,-10.35683,-1.064
20240313_234012,-0.914,-10.35683,-1.064
20240313_234012,-0.914,-10.35683,-1.064
20240313_234012,-0.914,-10.35683,-1.064
20240313_234012,-0.914,-10.35683,-1.064
20240313_234012,-0.914,-10.35683,-1.064
20240313_234012,-0.914,-10.35683,-1.064
20240313_234012,-0.914,-10.35683,-1.064
20240313_234012,-0.914,-10.35683,-1.064
20240313_234012,-0.914,-10.35683,-1.064
20240313_234012,-0.914,-10.35683,-1.064
20240313_234012,-0.914,-10.35683,-1.064
20240313_234012,-0.914,-10.35683,-1.064
20240313_234012,-0.914,-10.35683,-1.064
20240313_234012,-0.914,-10.35683,-1.064
20240313_234012,-0.914,-10.35683,-1.064
20240313_234012,-0.914,-10.35683,-1.064
20240313_234012,-0.914,-10.35683,-1.064
20240313_234012,-0.914,-10.35683,-1.064
20240313_234012,-0.914,-10.35683,-1.064
20240313_234012,-0.914,-10.35683,-1.064
20240313_234013,-0.914,-10.35683,-1.064
20240313_234013,-0.914,-10.35683,-1.064
20240313_234013,-0.914,-10.35683,-1.064
20240313_234013,-0.914,-10.35683,-1.064
