Time Stamp,Round2-NonSol-K322_x,Round2-NonSol-K322_y,Round2-NonSol-K322_z
20240313_234002,-0.404,-10.56291,-0.634
20240313_234002,-0.404,-10.56291,-0.634
20240313_234002,-0.404,-10.56291,-0.634
20240313_234002,-0.404,-10.56291,-0.634
20240313_234002,-0.404,-10.56291,-0.634
20240313_234002,-0.404,-10.56291,-0.634
20240313_234002,-0.404,-10.56291,-0.634
20240313_234002,-0.404,-10.56291,-0.634
20240313_234002,-0.404,-10.56291,-0.634
20240313_234002,-0.404,-10.56291,-0.634
20240313_234002,-0.404,-10.56291,-0.634
20240313_234002,-0.404,-10.56291,-0.634
20240313_234002,-0.404,-10.56291,-0.634
20240313_234002,-0.404,-10.56291,-0.634
20240313_234002,-0.404,-10.56291,-0.634
20240313_234002,-0.404,-10.56291,-0.634
20240313_234002,-0.404,-10.56291,-0.634
20240313_234002,-0.404,-10.56291,-0.634
20240313_234003,-0.404,-10.56291,-0.634
20240313_234003,-0.404,-10.56291,-0.634
20240313_234003,-0.404,-10.56291,-0.634
20240313_234003,-0.404,-10.56291,-0.634
20240313_234003,-0.404,-10.56291,-0.634
20240313_234003,-0.404,-10.56291,-0.634
20240313_234003,-0.404,-10.56291,-0.634
20240313_234003,-0.404,-10.56291,-0.634
20240313_234003,-0.404,-10.56291,-0.634
20240313_234003,-0.404,-10.56291,-0.634
20240313_234003,-0.404,-10.56291,-0.634
20240313_234003,-0.404,-10.56291,-0.634
20240313_234003,-0.404,-10.56291,-0.634
20240313_234003,-0.404,-10.56291,-0.634
20240313_234003,-0.404,-10.56291,-0.634
20240313_234003,-0.404,-10.56291,-0.634
20240313_234003,-0.404,-10.56291,-0.634
20240313_234003,-0.404,-10.56291,-0.634
20240313_234003,-0.404,-10.56291,-0.634
20240313_234004,-0.404,-10.56291,-0.634
20240313_234004,-0.404,-10.56291,-0.634
20240313_234004,-0.404,-10.56291,-0.634
20240313_234004,-0.404,-10.56291,-0.634
20240313_234004,-0.404,-10.56291,-0.634
20240313_234004,-0.404,-10.56291,-0.634
20240313_234004,-0.404,-10.56291,-0.634
20240313_234004,-0.404,-10.56291,-0.634
20240313_234004,-0.404,-10.56291,-0.634
20240313_234004,-0.404,-10.56291,-0.634
20240313_234004,-0.404,-10.56291,-0.634
20240313_234004,-0.404,-10.56291,-0.634
20240313_234004,-0.404,-10.56291,-0.634
20240313_234004,-0.404,-10.56291,-0.634
20240313_234004,-0.404,-10.56291,-0.634
20240313_234004,-0.404,-10.56291,-0.634
20240313_234004,-0.404,-10.56291,-0.634
20240313_234004,-0.404,-10.56291,-0.634
20240313_234004,-0.404,-10.56291,-0.634
20240313_234004,-0.404,-10.56291,-0.634
20240313_234004,-0.404,-10.56291,-0.634
20240313_234005,-0.404,-10.56291,-0.634
20240313_234005,-0.404,-10.56291,-0.634
20240313_234005,-0.404,-10.56291,-0.634
20240313_234005,-0.404,-10.56291,-0.634
20240313_234005,-0.404,-10.56291,-0.634
20240313_234005,-0.404,-10.56291,-0.634
20240313_234005,-0.404,-10.56291,-0.634
20240313_234005,-0.404,-10.56291,-0.634
20240313_234005,-0.404,-10.56291,-0.634
20240313_234005,-0.404,-10.56291,-0.634
20240313_234005,-0.404,-10.56291,-0.634
20240313_234005,-0.404,-10.56291,-0.634
20240313_234005,-0.404,-10.56291,-0.634
20240313_234005,-0.404,-10.56291,-0.634
20240313_234005,-0.404,-10.56291,-0.634
20240313_234005,-0.404,-10.56291,-0.634
20240313_234005,-0.404,-10.56291,-0.634
20240313_234005,-0.404,-10.56291,-0.634
20240313_234005,-0.404,-10.56291,-0.634
20240313_234005,-0.404,-10.56291,-0.634
20240313_234005,-0.404,-10.56291,-0.634
20240313_234006,-0.404,-10.56291,-0.634
20240313_234006,-0.404,-10.56291,-0.634
20240313_234006,-0.404,-10.56291,-0.634
20240313_234006,-0.404,-10.56291,-0.634
20240313_234006,-0.404,-10.56291,-0.634
