Time Stamp,Round2-NonSol-L778_x,Round2-NonSol-L778_y,Round2-NonSol-L778_z
20240313_234002,-1.934,-10.3672,0.226
20240313_234002,-1.934,-10.3672,0.226
20240313_234002,-1.934,-10.3672,0.226
20240313_234002,-1.934,-10.3672,0.226
20240313_234002,-1.934,-10.3672,0.226
20240313_234002,-1.934,-10.3672,0.226
20240313_234002,-1.934,-10.3672,0.226
20240313_234002,-1.934,-10.3672,0.226
20240313_234002,-1.934,-10.3672,0.226
20240313_234002,-1.934,-10.3672,0.226
20240313_234002,-1.934,-10.3672,0.226
20240313_234002,-1.934,-10.3672,0.226
20240313_234002,-1.934,-10.3672,0.226
20240313_234002,-1.934,-10.3672,0.226
20240313_234002,-1.934,-10.3672,0.226
20240313_234002,-1.934,-10.3672,0.226
20240313_234002,-1.934,-10.3672,0.226
20240313_234002,-1.934,-10.3672,0.226
20240313_234003,-1.934,-10.3672,0.226
20240313_234003,-1.934,-10.3672,0.226
20240313_234003,-1.934,-10.3672,0.226
20240313_234003,-1.934,-10.3672,0.226
20240313_234003,-1.934,-10.3672,0.226
20240313_234003,-1.934,-10.3672,0.226
20240313_234003,-1.934,-10.3672,0.226
20240313_234003,-1.934,-10.3672,0.226
20240313_234003,-1.934,-10.3672,0.226
20240313_234003,-1.934,-10.3672,0.226
20240313_234003,-1.934,-10.3672,0.226
20240313_234003,-1.934,-10.3672,0.226
20240313_234003,-1.934,-10.3672,0.226
20240313_234003,-1.934,-10.3672,0.226
20240313_234003,-1.934,-10.3672,0.226
20240313_234003,-1.934,-10.3672,0.226
20240313_234003,-1.934,-10.3672,0.226
20240313_234003,-1.934,-10.3672,0.226
20240313_234003,-1.934,-10.3672,0.226
20240313_234004,-1.934,-10.3672,0.226
20240313_234004,-1.934,-10.3672,0.226
20240313_234004,-1.934,-10.3672,0.226
20240313_234004,-1.934,-10.3672,0.226
20240313_234004,-1.934,-10.3672,0.226
20240313_234004,-1.934,-10.3672,0.226
20240313_234004,-1.934,-10.3672,0.226
20240313_234004,-1.934,-10.3672,0.226
20240313_234004,-1.934,-10.3672,0.226
20240313_234004,-1.934,-10.3672,0.226
20240313_234004,-1.934,-10.3672,0.226
20240313_234004,-1.934,-10.3672,0.226
20240313_234004,-1.934,-10.3672,0.226
20240313_234004,-1.934,-10.3672,0.226
20240313_234004,-1.934,-10.3672,0.226
20240313_234004,-1.934,-10.3672,0.226
20240313_234004,-1.934,-10.3672,0.226
20240313_234004,-1.934,-10.3672,0.226
20240313_234004,-1.934,-10.3672,0.226
20240313_234004,-1.934,-10.3672,0.226
20240313_234004,-1.934,-10.3672,0.226
20240313_234005,-1.934,-10.3672,0.226
20240313_234005,-1.934,-10.3672,0.226
20240313_234005,-1.934,-10.3672,0.226
20240313_234005,-1.934,-10.3672,0.226
20240313_234005,-1.934,-10.3672,0.226
20240313_234005,-1.934,-10.3672,0.226
20240313_234005,-1.934,-10.3672,0.226
20240313_234005,-1.934,-10.3672,0.226
20240313_234005,-1.934,-10.3672,0.226
20240313_234005,-1.934,-10.3672,0.226
20240313_234005,-1.934,-10.3672,0.226
20240313_234005,-1.934,-10.3672,0.226
20240313_234005,-1.934,-10.3672,0.226
20240313_234005,-1.934,-10.3672,0.226
20240313_234005,-1.934,-10.3672,0.226
20240313_234005,-1.934,-10.3672,0.226
20240313_234005,-1.934,-10.3672,0.226
20240313_234005,-1.934,-10.3672,0.226
20240313_234005,-1.934,-10.3672,0.226
20240313_234005,-1.934,-10.3672,0.226
20240313_234005,-1.934,-10.3672,0.226
20240313_234006,-1.934,-10.3672,0.226
20240313_234006,-1.934,-10.3672,0.226
20240313_234006,-1.934,-10.3672,0.226
20240313_234006,-1.934,-10.3672,0.226
20240313_234006,-1.934,-10.3672,0.226
20240313_234006,-1.934,-10.3672,0.226
20240313_234006,-1.934,-10.3672,0.226
20240313_234006,-1.934,-10.3672,0.226
20240313_234006,-1.934,-10.3672,0.226
20240313_234006,-1.934,-10.3672,0.226
20240313_234006,-1.934,-10.3672,0.226
20240313_234006,-1.934,-10.3672,0.226
20240313_234006,-1.934,-10.3672,0.226
20240313_234006,-1.934,-10.3672,0.226
20240313_234006,-1.934,-10.3672,0.226
20240313_234006,-1.934,-10.3672,0.226
20240313_234006,-1.934,-10.3672,0.226
20240313_234006,-1.934,-10.3672,0.226
20240313_234006,-1.934,-10.3672,0.226
20240313_234006,-1.934,-10.3672,0.226
20240313_234006,-1.934,-10.3672,0.226
20240313_234006,-1.934,-10.3672,0.226
20240313_234006,-1.934,-10.3672,0.226
20240313_234006,-1.934,-10.3672,0.226
20240313_234007,-1.934,-10.3672,0.226
20240313_234007,-1.934,-10.3672,0.226
20240313_234007,-1.934,-10.3672,0.226
20240313_234007,-1.934,-10.3672,0.226
20240313_234007,-1.934,-10.3672,0.226
20240313_234007,-1.934,-10.3672,0.226
20240313_234007,-1.934,-10.3672,0.226
20240313_234007,-1.934,-10.3672,0.226
20240313_234007,-1.934,-10.3672,0.226
20240313_234007,-1.934,-10.3672,0.226
20240313_234007,-1.934,-10.3672,0.226
20240313_234007,-1.934,-10.3672,0.226
20240313_234007,-1.934,-10.3672,0.226
20240313_234007,-1.934,-10.3672,0.226
20240313_234007,-1.934,-10.3672,0.226
20240313_234007,-1.934,-10.3672,0.226
20240313_234007,-1.934,-10.3672,0.226
20240313_234007,-1.934,-10.3672,0.226
20240313_234007,-1.934,-10.3672,0.226
20240313_234007,-1.934,-10.3672,0.226
20240313_234007,-1.934,-10.3672,0.226
20240313_234007,-1.934,-10.3672,0.226
20240313_234007,-1.934,-10.3672,0.226
20240313_234007,-1.934,-10.3672,0.226
20240313_234007,-1.934,-10.3672,0.226
20240313_234007,-1.934,-10.3672,0.226
20240313_234007,-1.934,-10.3672,0.226
20240313_234007,-1.934,-10.3672,0.226
20240313_234007,-1.934,-10.3672,0.226
20240313_234007,-1.934,-10.3672,0.226
20240313_234007,-1.934,-10.3672,0.226
20240313_234007,-1.934,-10.3672,0.226
20240313_234007,-1.934,-10.3672,0.226
20240313_234008,-1.934,-10.3672,0.226
20240313_234008,-1.934,-10.3672,0.226
20240313_234008,-1.934,-10.3672,0.226
20240313_234008,-1.934,-10.3672,0.226
20240313_234008,-1.934,-10.3672,0.226
20240313_234008,-1.934,-10.3672,0.226
20240313_234008,-1.934,-10.3672,0.226
20240313_234008,-1.934,-10.3672,0.226
20240313_234008,-1.934,-10.3672,0.226
20240313_234008,-1.934,-10.3672,0.226
20240313_234008,-1.934,-10.3672,0.226
20240313_234008,-1.934,-10.3672,0.226
20240313_234008,-1.934,-10.3672,0.226
20240313_234008,-1.934,-10.3672,0.226
20240313_234008,-1.934,-10.3672,0.226
20240313_234008,-1.934,-10.3672,0.226
20240313_234008,-1.934,-10.3672,0.226
20240313_234008,-1.934,-10.3672,0.226
20240313_234008,-1.934,-10.3672,0.226
20240313_234008,-1.934,-10.3672,0.226
20240313_234008,-1.934,-10.3672,0.226
20240313_234008,-1.934,-10.3672,0.226
20240313_234008,-1.934,-10.3672,0.226
20240313_234008,-1.934,-10.3672,0.226
20240313_234008,-1.934,-10.3672,0.226
20240313_234008,-1.934,-10.3672,0.226
20240313_234008,-1.934,-10.3672,0.226
20240313_234008,-1.934,-10.3672,0.226
20240313_234008,-1.934,-10.3672,0.226
20240313_234008,-1.934,-10.3672,0.226
20240313_234008,-1.934,-10.3672,0.226
20240313_234008,-1.934,-10.3672,0.226
20240313_234008,-1.934,-10.3672,0.226
20240313_234008,-1.934,-10.3672,0.226
20240313_234008,-1.934,-10.3672,0.226
20240313_234009,-1.934,-10.3672,0.226
20240313_234009,-1.934,-10.3672,0.226
20240313_234009,-1.934,-10.3672,0.226
20240313_234009,-1.934,-10.3672,0.226
20240313_234009,-1.934,-10.3672,0.226
20240313_234009,-1.934,-10.3672,0.226
20240313_234009,-1.934,-10.3672,0.226
