Time Stamp,Round2-NonSol-X941_x,Round2-NonSol-X941_y,Round2-NonSol-X941_z
20240313_234002,-1.934,-10.44718,-1.064
20240313_234002,-1.934,-10.44718,-1.064
20240313_234002,-1.934,-10.44718,-1.064
20240313_234002,-1.934,-10.44718,-1.064
20240313_234002,-1.934,-10.44718,-1.064
20240313_234002,-1.934,-10.44718,-1.064
20240313_234002,-1.934,-10.44718,-1.064
20240313_234002,-1.934,-10.44718,-1.064
20240313_234002,-1.934,-10.44718,-1.064
20240313_234002,-1.934,-10.44718,-1.064
20240313_234002,-1.934,-10.44718,-1.064
20240313_234002,-1.934,-10.44718,-1.064
20240313_234002,-1.934,-10.44718,-1.064
20240313_234002,-1.934,-10.44718,-1.064
20240313_234002,-1.934,-10.44718,-1.064
20240313_234002,-1.934,-10.44718,-1.064
20240313_234002,-1.934,-10.44718,-1.064
20240313_234002,-1.934,-10.44718,-1.064
20240313_234003,-1.934,-10.44718,-1.064
20240313_234003,-1.934,-10.44718,-1.064
20240313_234003,-1.934,-10.44718,-1.064
20240313_234003,-1.934,-10.44718,-1.064
20240313_234003,-1.934,-10.44718,-1.064
20240313_234003,-1.934,-10.44718,-1.064
20240313_234003,-1.934,-10.44718,-1.064
20240313_234003,-1.934,-10.44718,-1.064
20240313_234003,-1.934,-10.44718,-1.064
20240313_234003,-1.934,-10.44718,-1.064
20240313_234003,-1.934,-10.44718,-1.064
20240313_234003,-1.934,-10.44718,-1.064
20240313_234003,-1.934,-10.44718,-1.064
20240313_234003,-1.934,-10.44718,-1.064
20240313_234003,-1.934,-10.44718,-1.064
20240313_234003,-1.934,-10.44718,-1.064
20240313_234003,-1.934,-10.44718,-1.064
20240313_234003,-1.934,-10.44718,-1.064
20240313_234003,-1.934,-10.44718,-1.064
20240313_234004,-1.934,-10.44718,-1.064
20240313_234004,-1.934,-10.44718,-1.064
20240313_234004,-1.934,-10.44718,-1.064
20240313_234004,-1.934,-10.44718,-1.064
20240313_234004,-1.934,-10.44718,-1.064
20240313_234004,-1.934,-10.44718,-1.064
20240313_234004,-1.934,-10.44718,-1.064
20240313_234004,-1.934,-10.44718,-1.064
