Time Stamp,Round2-NonSol-Z428_x,Round2-NonSol-Z428_y,Round2-NonSol-Z428_z
20240313_234002,0.1059999,-10.46395,0.656
20240313_234002,0.1059999,-10.46395,0.656
20240313_234002,0.1059999,-10.46395,0.656
20240313_234002,0.1059999,-10.46395,0.656
20240313_234002,0.1059999,-10.46395,0.656
20240313_234002,0.1059999,-10.46395,0.656
20240313_234002,0.1059999,-10.46395,0.656
20240313_234002,0.1059999,-10.46395,0.656
20240313_234002,0.1059999,-10.46395,0.656
20240313_234002,0.1059999,-10.46395,0.656
20240313_234002,0.1059999,-10.46395,0.656
20240313_234002,0.1059999,-10.46395,0.656
20240313_234002,0.1059999,-10.46395,0.656
20240313_234002,0.1059999,-10.46395,0.656
20240313_234002,0.1059999,-10.46395,0.656
20240313_234002,0.1059999,-10.46395,0.656
20240313_234002,0.1059999,-10.46395,0.656
20240313_234002,0.1059999,-10.46395,0.656
20240313_234003,0.1059999,-10.46395,0.656
20240313_234003,0.1059999,-10.46395,0.656
20240313_234003,0.1059999,-10.46395,0.656
20240313_234003,0.1059999,-10.46395,0.656
20240313_234003,0.1059999,-10.46395,0.656
20240313_234003,0.1059999,-10.46395,0.656
20240313_234003,0.1059999,-10.46395,0.656
20240313_234003,0.1059999,-10.46395,0.656
20240313_234003,0.1059999,-10.46395,0.656
20240313_234003,0.1059999,-10.46395,0.656
20240313_234003,0.1059999,-10.46395,0.656
20240313_234003,0.1059999,-10.46395,0.656
20240313_234003,0.1059999,-10.46395,0.656
20240313_234003,0.1059999,-10.46395,0.656
20240313_234003,0.1059999,-10.46395,0.656
20240313_234003,0.1059999,-10.46395,0.656
20240313_234003,0.1059999,-10.46395,0.656
20240313_234003,0.1059999,-10.46395,0.656
20240313_234003,0.1059999,-10.46395,0.656
20240313_234004,0.1059999,-10.46395,0.656
20240313_234004,0.1059999,-10.46395,0.656
20240313_234004,0.1059999,-10.46395,0.656
20240313_234004,0.1059999,-10.46395,0.656
20240313_234004,0.1059999,-10.46395,0.656
20240313_234004,0.1059999,-10.46395,0.656
20240313_234004,0.1059999,-10.46395,0.656
20240313_234004,0.1059999,-10.46395,0.656
20240313_234004,0.1059999,-10.46395,0.656
20240313_234004,0.1059999,-10.46395,0.656
20240313_234004,0.1059999,-10.46395,0.656
20240313_234004,0.1059999,-10.46395,0.656
