Time StampE(Clone)_x,E(Clone)_y,E(Clone)_z
20240313_230802,-0.404,-10.31208,-1.064
20240313_230802,-0.404,-10.30544,-1.064
20240313_230802,-0.404,-10.30328,-1.064
20240313_230802,-0.404,-10.30271,-1.064
20240313_230802,-0.404,-10.30231,-1.064
20240313_230802,-0.404,-10.30209,-1.064
20240313_230802,-0.404,-10.30213,-1.064
20240313_230802,-0.404,-10.30229,-1.064
20240313_230802,-0.404,-10.30279,-1.064
20240313_230802,-0.404,-10.30323,-1.064
20240313_230802,-0.404,-10.30396,-1.064
20240313_230802,-0.404,-10.30462,-1.064
20240313_230802,-0.404,-10.30535,-1.064
20240313_230802,-0.404,-10.30616,-1.064
20240313_230802,-0.404,-10.30704,-1.064
20240313_230802,-0.404,-10.30829,-1.064
20240313_230802,-0.404,-10.30927,-1.064
20240313_230802,-0.404,-10.31029,-1.064
20240313_230802,-0.404,-10.31133,-1.064
20240313_230802,-0.404,-10.31238,-1.064
20240313_230802,-0.404,-10.31377,-1.064
20240313_230803,-0.404,-10.31479,-1.064
20240313_230803,-0.404,-10.31578,-1.064
20240313_230803,-0.404,-10.31673,-1.064
20240313_230803,-0.404,-10.31763,-1.064
20240313_230803,-0.404,-10.31873,-1.064
20240313_230803,-0.404,-10.31993,-1.064
20240313_230803,-0.404,-10.32072,-1.064
20240313_230803,-0.404,-10.32133,-1.064
20240313_230803,-0.404,-10.32185,-1.064
20240313_230803,-0.404,-10.32206,-1.064
20240313_230803,-0.404,-10.32206,-1.064
20240313_230803,-0.404,-10.32194,-1.064
20240313_230803,-0.404,-10.32161,-1.064
20240313_230803,-0.404,-10.32124,-1.064
20240313_230803,-0.404,-10.32059,-1.064
20240313_230803,-0.404,-10.32,-1.064
20240313_230803,-0.404,-10.31932,-1.064
20240313_230803,-0.404,-10.31828,-1.064
20240313_230803,-0.404,-10.31743,-1.064
20240313_230803,-0.404,-10.3162,-1.064
20240313_230803,-0.404,-10.31489,-1.064
20240313_230803,-0.404,-10.31353,-1.064
20240313_230804,-0.404,-10.3111,-1.064
20240313_230805,-0.404,-10.30297,-1.064
