Position_HeadSet_x,Position_HeadSet_y,Position_HeadSet_z,Position_Right_x,Position_Right_y,Position_Right_z,Position_Left_x,Position_Left_y,Position_Left_z,E_x,E_y,E_z,E_x,E_y,E_z,R_x,R_y,R_z,
-4.040945,-10.19401,-0.407388,-1.217411,-11.01,0.007724524,-1.217411,-11.01,0.007724524,-2.444,-10.40052,0.226,-0.404,-10.32849,0.226,0.1059999,-9.512219,-0.204,
-4.040915,-10.19411,-0.4069641,-1.217411,-11.01,0.007724524,-1.217411,-11.01,0.007724524,-2.444,-10.3915,0.226,-0.404,-10.33131,0.226,0.1059999,-9.522088,-0.204,
-4.040862,-10.19432,-0.406564,-1.217411,-11.01,0.007724524,-1.217411,-11.01,0.007724524,-2.444,-10.39088,0.226,-0.404,-10.3296,0.226,0.1059999,-9.521658,-0.204,
-4.040838,-10.19431,-0.4064505,-1.217411,-11.01,0.007724524,-1.217411,-11.01,0.007724524,-2.444,-10.39065,0.226,-0.404,-10.32856,0.226,0.1059999,-9.52126,-0.204,
-4.040873,-10.1941,-0.4068925,-1.217411,-11.01,0.007724524,-1.217411,-11.01,0.007724524,-2.444,-10.39054,0.226,-0.404,-10.32751,0.226,0.1059999,-9.520764,-0.204,
-4.040875,-10.19407,-0.4067748,-1.217411,-11.01,0.007724524,-1.217411,-11.01,0.007724524,-2.444,-10.39052,0.226,-0.404,-10.32648,0.226,0.1059999,-9.520174,-0.204,
-4.040813,-10.19408,-0.4068425,-1.217411,-11.01,0.007724524,-1.217411,-11.01,0.007724524,-2.444,-10.39062,0.226,-0.404,-10.32547,0.226,0.1059999,-9.519497,-0.204,
-4.040827,-10.19405,-0.4067624,-1.217411,-11.01,0.007724524,-1.217411,-11.01,0.007724524,-2.444,-10.39083,0.226,-0.404,-10.32449,0.226,0.1059999,-9.518741,-0.204,
-4.040842,-10.19402,-0.406883,-1.217411,-11.01,0.007724524,-1.217411,-11.01,0.007724524,-2.444,-10.39114,0.226,-0.404,-10.32355,0.226,0.1059999,-9.517912,-0.204,
-4.040884,-10.19412,-0.4066284,-1.217411,-11.01,0.007724524,-1.217411,-11.01,0.007724524,-2.444,-10.39141,0.226,-0.404,-10.32296,0.226,0.1059999,-9.517325,-0.204,
-4.040873,-10.19438,-0.4062254,-1.217411,-11.01,0.007724524,-1.217411,-11.01,0.007724524,-2.444,-10.39189,0.226,-0.404,-10.32212,0.226,0.1059999,-9.516398,-0.204,
-4.040896,-10.19438,-0.4061315,-1.217411,-11.01,0.007724524,-1.217411,-11.01,0.007724524,-2.444,-10.39227,0.226,-0.404,-10.32159,0.226,0.1059999,-9.515755,-0.204,
-4.040912,-10.19415,-0.4066136,-1.217411,-11.01,0.007724524,-1.217411,-11.01,0.007724524,-2.444,-10.3929,0.226,-0.404,-10.32088,0.226,0.1059999,-9.514757,-0.204,
-4.04093,-10.19431,-0.4064984,-1.217411,-11.01,0.007724524,-1.217411,-11.01,0.007724524,-2.444,-10.39337,0.226,-0.404,-10.32044,0.226,0.1059999,-9.514076,-0.204,
-4.040927,-10.19434,-0.4064379,-1.217411,-11.01,0.007724524,-1.217411,-11.01,0.007724524,-2.444,-10.39414,0.226,-0.404,-10.31987,0.226,0.1059999,-9.513039,-0.204,
-4.040942,-10.19438,-0.4065852,-1.217411,-11.01,0.007724524,-1.217411,-11.01,0.007724524,-2.444,-10.39499,0.226,-0.404,-10.31938,0.226,0.1059999,-9.511992,-0.204,
-4.040931,-10.19442,-0.4066355,-1.217411,-11.01,0.007724524,-1.217411,-11.01,0.007724524,-2.444,-10.39589,0.226,-0.404,-10.319,0.226,0.1059999,-9.510949,-0.204,
-4.040854,-10.19434,-0.4066722,-1.217411,-11.01,0.007724524,-1.217411,-11.01,0.007724524,-2.444,-10.39684,0.226,-0.404,-10.31873,0.226,0.1059999,-9.509919,-0.204,
-4.04086,-10.19429,-0.4066203,-1.217411,-11.01,0.007724524,-1.217411,-11.01,0.007724524,-2.444,-10.39783,0.226,-0.404,-10.31855,0.226,0.1059999,-9.508914,-0.204,
-4.040915,-10.19433,-0.4065773,-1.217411,-11.01,0.007724524,-1.217411,-11.01,0.007724524,-2.444,-10.39885,0.226,-0.404,-10.31849,0.226,0.1059999,-9.507946,-0.204,
-4.040932,-10.19436,-0.4065611,-1.217411,-11.01,0.007724524,-1.217411,-11.01,0.007724524,-2.444,-10.39989,0.226,-0.404,-10.31854,0.226,0.1059999,-9.507025,-0.204,
-4.040903,-10.19435,-0.4065068,-1.217411,-11.01,0.007724524,-1.217411,-11.01,0.007724524,-2.444,-10.40094,0.226,-0.404,-10.3187,0.226,0.1059999,-9.50616,-0.204,
-4.040873,-10.19436,-0.40641,-1.217411,-11.01,0.007724524,-1.217411,-11.01,0.007724524,-2.444,-10.40198,0.226,-0.404,-10.31896,0.226,0.1059999,-9.505362,-0.204,
-4.040929,-10.1944,-0.4064674,-1.217411,-11.01,0.007724524,-1.217411,-11.01,0.007724524,-2.444,-10.40301,0.226,-0.404,-10.31933,0.226,0.1059999,-9.504638,-0.204,
-4.040895,-10.19444,-0.4064505,-1.217411,-11.01,0.007724524,-1.217411,-11.01,0.007724524,-2.444,-10.40368,0.226,-0.404,-10.31963,0.226,0.1059999,-9.504202,-0.204,
-4.040931,-10.1947,-0.4060252,-1.217411,-11.01,0.007724524,-1.217411,-11.01,0.007724524,-2.444,-10.40465,0.226,-0.404,-10.32017,0.226,0.1059999,-9.503621,-0.204,
-4.04096,-10.19448,-0.4063721,-1.217411,-11.01,0.007724524,-1.217411,-11.01,0.007724524,-2.444,-10.40528,0.226,-0.404,-10.32057,0.226,0.1059999,-9.503285,-0.204,
-4.040997,-10.1946,-0.4063756,-1.217411,-11.01,0.007724524,-1.217411,-11.01,0.007724524,-2.444,-10.40588,0.226,-0.404,-10.32102,0.226,0.1059999,-9.502995,-0.204,
-4.040999,-10.19482,-0.4060781,-1.217411,-11.01,0.007724524,-1.217411,-11.01,0.007724524,-2.444,-10.40645,0.226,-0.404,-10.3215,0.226,0.1059999,-9.502748,-0.204,
-4.040973,-10.19479,-0.4058921,-1.217411,-11.01,0.007724524,-1.217411,-11.01,0.007724524,-2.444,-10.407,0.226,-0.404,-10.32201,0.226,0.1059999,-9.502546,-0.204,
-4.040947,-10.1945,-0.4061935,-1.217411,-11.01,0.007724524,-1.217411,-11.01,0.007724524,-2.444,-10.40751,0.226,-0.404,-10.32256,0.226,0.1059999,-9.502394,-0.204,
-4.040946,-10.1944,-0.4063871,-1.217411,-11.01,0.007724524,-1.217411,-11.01,0.007724524,-2.444,-10.40822,0.226,-0.404,-10.32344,0.226,0.1059999,-9.502254,-0.204,
-4.040959,-10.19458,-0.4060736,-1.217411,-11.01,0.007724524,-1.217411,-11.01,0.007724524,-2.444,-10.40865,0.226,-0.404,-10.32405,0.226,0.1059999,-9.50222,-0.204,
-4.040986,-10.19462,-0.4060967,-1.217411,-11.01,0.007724524,-1.217411,-11.01,0.007724524,-2.444,-10.40903,0.226,-0.404,-10.32469,0.226,0.1059999,-9.502236,-0.204,
-4.040981,-10.1944,-0.4064438,-1.217411,-11.01,0.007724524,-1.217411,-11.01,0.007724524,-2.444,-10.40954,0.226,-0.404,-10.32567,0.226,0.1059999,-9.502351,-0.204,
-4.040915,-10.19426,-0.4066899,-1.217411,-11.01,0.007724524,-1.217411,-11.01,0.007724524,-2.444,-10.40981,0.226,-0.404,-10.32635,0.226,0.1059999,-9.502487,-0.204,
-4.040978,-10.1945,-0.406265,-1.217411,-11.01,0.007724524,-1.217411,-11.01,0.007724524,-2.444,-10.41005,0.226,-0.404,-10.32704,0.226,0.1059999,-9.502672,-0.204,
-4.040979,-10.19418,-0.4065773,-1.217411,-11.01,0.007724524,-1.217411,-11.01,0.007724524,-2.444,-10.41024,0.226,-0.404,-10.32773,0.226,0.1059999,-9.502902,-0.204,
-4.041052,-10.1942,-0.4067209,-1.217411,-11.01,0.007724524,-1.217411,-11.01,0.007724524,-2.444,-10.41038,0.226,-0.404,-10.32843,0.226,0.1059999,-9.503179,-0.204,
-4.04107,-10.1944,-0.4063828,-1.217411,-11.01,0.007724524,-1.217411,-11.01,0.007724524,-2.444,-10.41047,0.226,-0.404,-10.32913,0.226,0.1059999,-9.503499,-0.204,
-4.041092,-10.19415,-0.4067523,-1.217411,-11.01,0.007724524,-1.217411,-11.01,0.007724524,-2.444,-10.41051,0.226,-0.404,-10.32982,0.226,0.1059999,-9.503861,-0.204,
-4.041044,-10.1941,-0.4067223,-1.217411,-11.01,0.007724524,-1.217411,-11.01,0.007724524,-2.444,-10.41051,0.226,-0.404,-10.33051,0.226,0.1059999,-9.504265,-0.204,
-4.040997,-10.19433,-0.4063933,-1.217411,-11.01,0.007724524,-1.217411,-11.01,0.007724524,-2.444,-10.41045,0.226,-0.404,-10.33119,0.226,0.1059999,-9.504706,-0.204,
-4.040962,-10.19402,-0.4066596,-1.217411,-11.01,0.007724524,-1.217411,-11.01,0.007724524,-2.444,-10.41035,0.226,-0.404,-10.33185,0.226,0.1059999,-9.505185,-0.204,
-4.040977,-10.19389,-0.4067013,-1.217411,-11.01,0.007724524,-1.217411,-11.01,0.007724524,-2.444,-10.4102,0.226,-0.404,-10.3325,0.226,0.1059999,-9.505698,-0.204,
-4.040957,-10.19413,-0.4063842,-1.217411,-11.01,0.007724524,-1.217411,-11.01,0.007724524,-2.444,-10.41,0.226,-0.404,-10.33313,0.226,0.1059999,-9.506243,-0.204,
-4.040948,-10.19385,-0.4068208,-1.217411,-11.01,0.007724524,-1.217411,-11.01,0.007724524,-2.444,-10.40976,0.226,-0.404,-10.33374,0.226,0.1059999,-9.506817,-0.204,
-4.040896,-10.19379,-0.4070358,-1.217411,-11.01,0.007724524,-1.217411,-11.01,0.007724524,-2.444,-10.40947,0.226,-0.404,-10.33432,0.226,0.1059999,-9.507417,-0.204,
-4.040859,-10.19372,-0.4073205,-1.217411,-11.01,0.007724524,-1.217411,-11.01,0.007724524,-2.444,-10.40896,0.226,-0.404,-10.33514,0.226,0.1059999,-9.50836,-0.204,
