Position_HeadSet_x,Position_HeadSet_y,Position_HeadSet_z,Position_Right_x,Position_Right_y,Position_Right_z,Position_Left_x,Position_Left_y,Position_Left_z,E_x,E_y,E_z,V_x,V_y,V_z,R_x,R_y,R_z,
-4.041081,-10.19181,-0.409744,-1.217411,-11.01,0.007724524,-1.217411,-11.01,0.007724524,-1.424,-10.55905,0.656,0.1059999,-10.13441,-0.204,-0.914,-9.739658,-1.064,
-4.041053,-10.1918,-0.4097707,-1.217411,-11.01,0.007724524,-1.217411,-11.01,0.007724524,-1.424,-10.55425,0.656,0.1059999,-10.14384,-0.204,-0.914,-9.749363,-1.064,
-4.041059,-10.19211,-0.4094379,-1.217411,-11.01,0.007724524,-1.217411,-11.01,0.007724524,-1.424,-10.5528,0.656,0.1059999,-10.14312,-0.204,-0.914,-9.748797,-1.064,
-4.041046,-10.19211,-0.4094846,-1.217411,-11.01,0.007724524,-1.217411,-11.01,0.007724524,-1.424,-10.55202,0.656,0.1059999,-10.14256,-0.204,-0.914,-9.748322,-1.064,
-4.041052,-10.19213,-0.4094336,-1.217411,-11.01,0.007724524,-1.217411,-11.01,0.007724524,-1.424,-10.55132,0.656,0.1059999,-10.14191,-0.204,-0.914,-9.747753,-1.064,
-4.041059,-10.19212,-0.4093177,-1.217411,-11.01,0.007724524,-1.217411,-11.01,0.007724524,-1.424,-10.5507,0.656,0.1059999,-10.14118,-0.204,-0.914,-9.747095,-1.064,
-4.041045,-10.19186,-0.4096882,-1.217411,-11.01,0.007724524,-1.217411,-11.01,0.007724524,-1.424,-10.55017,0.656,0.1059999,-10.14037,-0.204,-0.914,-9.746356,-1.064,
-4.04108,-10.19182,-0.4095848,-1.217411,-11.01,0.007724524,-1.217411,-11.01,0.007724524,-1.424,-10.54987,0.656,0.1059999,-10.13979,-0.204,-0.914,-9.745822,-1.064,
-4.041115,-10.19178,-0.4094684,-1.217411,-11.01,0.007724524,-1.217411,-11.01,0.007724524,-1.424,-10.5495,0.656,0.1059999,-10.13888,-0.204,-0.914,-9.744965,-1.064,
-4.041062,-10.19164,-0.4096653,-1.217411,-11.01,0.007724524,-1.217411,-11.01,0.007724524,-1.424,-10.54924,0.656,0.1059999,-10.13792,-0.204,-0.914,-9.74405,-1.064,
-4.041052,-10.19173,-0.4097006,-1.217411,-11.01,0.007724524,-1.217411,-11.01,0.007724524,-1.424,-10.54909,0.656,0.1059999,-10.13693,-0.204,-0.914,-9.743087,-1.064,
-4.041062,-10.19176,-0.4096658,-1.217411,-11.01,0.007724524,-1.217411,-11.01,0.007724524,-1.424,-10.54905,0.656,0.1059999,-10.1359,-0.204,-0.914,-9.742085,-1.064,
-4.04105,-10.19215,-0.4092059,-1.217411,-11.01,0.007724524,-1.217411,-11.01,0.007724524,-1.424,-10.54916,0.656,0.1059999,-10.13451,-0.204,-0.914,-9.740712,-1.064,
-4.041104,-10.19225,-0.4089954,-1.217411,-11.01,0.007724524,-1.217411,-11.01,0.007724524,-1.424,-10.54937,0.656,0.1059999,-10.13346,-0.204,-0.914,-9.739667,-1.064,
-4.041107,-10.19225,-0.4091401,-1.217411,-11.01,0.007724524,-1.217411,-11.01,0.007724524,-1.424,-10.54969,0.656,0.1059999,-10.13243,-0.204,-0.914,-9.738622,-1.064,
-4.04112,-10.19237,-0.4090264,-1.217411,-11.01,0.007724524,-1.217411,-11.01,0.007724524,-1.424,-10.55027,0.656,0.1059999,-10.13108,-0.204,-0.914,-9.737247,-1.064,
-4.041167,-10.19242,-0.4088256,-1.217411,-11.01,0.007724524,-1.217411,-11.01,0.007724524,-1.424,-10.55082,0.656,0.1059999,-10.13012,-0.204,-0.914,-9.736246,-1.064,
-4.041152,-10.19231,-0.4090264,-1.217411,-11.01,0.007724524,-1.217411,-11.01,0.007724524,-1.424,-10.55146,0.656,0.1059999,-10.1292,-0.204,-0.914,-9.735282,-1.064,
-4.041152,-10.19227,-0.4089332,-1.217411,-11.01,0.007724524,-1.217411,-11.01,0.007724524,-1.424,-10.55194,0.656,0.1059999,-10.12861,-0.204,-0.914,-9.734666,-1.064,
-4.041138,-10.19202,-0.4092214,-1.217411,-11.01,0.007724524,-1.217411,-11.01,0.007724524,-1.424,-10.55271,0.656,0.1059999,-10.12779,-0.204,-0.914,-9.733788,-1.064,
-4.041189,-10.19204,-0.4091222,-1.217411,-11.01,0.007724524,-1.217411,-11.01,0.007724524,-1.424,-10.55355,0.656,0.1059999,-10.12705,-0.204,-0.914,-9.732973,-1.064,
-4.041209,-10.19209,-0.4091809,-1.217411,-11.01,0.007724524,-1.217411,-11.01,0.007724524,-1.424,-10.55415,0.656,0.1059999,-10.12659,-0.204,-0.914,-9.732471,-1.064,
-4.041157,-10.19233,-0.4089222,-1.217411,-11.01,0.007724524,-1.217411,-11.01,0.007724524,-1.424,-10.55477,0.656,0.1059999,-10.12618,-0.204,-0.914,-9.732003,-1.064,
-4.041169,-10.19212,-0.4093106,-1.217411,-11.01,0.007724524,-1.217411,-11.01,0.007724524,-1.424,-10.55541,0.656,0.1059999,-10.1258,-0.204,-0.914,-9.731573,-1.064,
-4.041051,-10.19217,-0.4093688,-1.217411,-11.01,0.007724524,-1.217411,-11.01,0.007724524,-1.424,-10.55607,0.656,0.1059999,-10.12547,-0.204,-0.914,-9.731182,-1.064,
-4.04106,-10.1925,-0.4089015,-1.217411,-11.01,0.007724524,-1.217411,-11.01,0.007724524,-1.424,-10.55674,0.656,0.1059999,-10.12518,-0.204,-0.914,-9.730833,-1.064,
-4.04105,-10.1922,-0.4093249,-1.217411,-11.01,0.007724524,-1.217411,-11.01,0.007724524,-1.424,-10.55742,0.656,0.1059999,-10.12493,-0.204,-0.914,-9.730526,-1.064,
-4.041142,-10.19226,-0.4092405,-1.217411,-11.01,0.007724524,-1.217411,-11.01,0.007724524,-1.424,-10.55812,0.656,0.1059999,-10.12473,-0.204,-0.914,-9.730265,-1.064,
-4.041071,-10.19258,-0.4089007,-1.217411,-11.01,0.007724524,-1.217411,-11.01,0.007724524,-1.424,-10.55881,0.656,0.1059999,-10.12458,-0.204,-0.914,-9.730048,-1.064,
-4.041022,-10.19228,-0.4092491,-1.217411,-11.01,0.007724524,-1.217411,-11.01,0.007724524,-1.424,-10.55951,0.656,0.1059999,-10.12448,-0.204,-0.914,-9.729878,-1.064,
-4.040926,-10.19234,-0.4091957,-1.217411,-11.01,0.007724524,-1.217411,-11.01,0.007724524,-1.424,-10.56021,0.656,0.1059999,-10.12442,-0.204,-0.914,-9.729757,-1.064,
-4.040949,-10.19266,-0.4087007,-1.217411,-11.01,0.007724524,-1.217411,-11.01,0.007724524,-1.424,-10.5609,0.656,0.1059999,-10.12442,-0.204,-0.914,-9.729683,-1.064,
-4.04093,-10.1924,-0.4090192,-1.217411,-11.01,0.007724524,-1.217411,-11.01,0.007724524,-1.424,-10.56158,0.656,0.1059999,-10.12446,-0.204,-0.914,-9.729658,-1.064,
-4.040956,-10.19251,-0.4089463,-1.217411,-11.01,0.007724524,-1.217411,-11.01,0.007724524,-1.424,-10.56225,0.656,0.1059999,-10.12455,-0.204,-0.914,-9.729682,-1.064,
-4.041059,-10.19258,-0.4087145,-1.217411,-11.01,0.007724524,-1.217411,-11.01,0.007724524,-1.424,-10.56322,0.656,0.1059999,-10.12477,-0.204,-0.914,-9.729809,-1.064,
-4.041113,-10.19288,-0.4081814,-1.217411,-11.01,0.007724524,-1.217411,-11.01,0.007724524,-1.424,-10.56384,0.656,0.1059999,-10.12498,-0.204,-0.914,-9.729954,-1.064,
-4.041103,-10.19254,-0.4084809,-1.217411,-11.01,0.007724524,-1.217411,-11.01,0.007724524,-1.424,-10.56444,0.656,0.1059999,-10.12524,-0.204,-0.914,-9.730145,-1.064,
-4.0411,-10.19255,-0.4082732,-1.217411,-11.01,0.007724524,-1.217411,-11.01,0.007724524,-1.424,-10.56502,0.656,0.1059999,-10.12554,-0.204,-0.914,-9.730383,-1.064,
-4.041118,-10.19261,-0.4081347,-1.217411,-11.01,0.007724524,-1.217411,-11.01,0.007724524,-1.424,-10.56582,0.656,0.1059999,-10.12607,-0.204,-0.914,-9.730824,-1.064,
-4.041105,-10.19288,-0.40768,-1.217411,-11.01,0.007724524,-1.217411,-11.01,0.007724524,-1.424,-10.56632,0.656,0.1059999,-10.12647,-0.204,-0.914,-9.731174,-1.064,
-4.041191,-10.19269,-0.4081695,-1.217411,-11.01,0.007724524,-1.217411,-11.01,0.007724524,-1.424,-10.56678,0.656,0.1059999,-10.12692,-0.204,-0.914,-9.731564,-1.064,
-4.041089,-10.19265,-0.4082797,-1.217411,-11.01,0.007724524,-1.217411,-11.01,0.007724524,-1.424,-10.5674,0.656,0.1059999,-10.12765,-0.204,-0.914,-9.732222,-1.064,
-4.04113,-10.19257,-0.4083774,-1.217411,-11.01,0.007724524,-1.217411,-11.01,0.007724524,-1.424,-10.56777,0.656,0.1059999,-10.12818,-0.204,-0.914,-9.732706,-1.064,
-4.041067,-10.19245,-0.4085681,-1.217411,-11.01,0.007724524,-1.217411,-11.01,0.007724524,-1.424,-10.56809,0.656,0.1059999,-10.12874,-0.204,-0.914,-9.733224,-1.064,
-4.041074,-10.19244,-0.4085319,-1.217411,-11.01,0.007724524,-1.217411,-11.01,0.007724524,-1.424,-10.56836,0.656,0.1059999,-10.12933,-0.204,-0.914,-9.733773,-1.064,
-4.041137,-10.19244,-0.4084656,-1.217411,-11.01,0.007724524,-1.217411,-11.01,0.007724524,-1.424,-10.56859,0.656,0.1059999,-10.12994,-0.204,-0.914,-9.734352,-1.064,
-4.041062,-10.19236,-0.4086998,-1.217411,-11.01,0.007724524,-1.217411,-11.01,0.007724524,-1.424,-10.56878,0.656,0.1059999,-10.13058,-0.204,-0.914,-9.734956,-1.064,
-4.041062,-10.19239,-0.4086711,-1.217411,-11.01,0.007724524,-1.217411,-11.01,0.007724524,-1.424,-10.56892,0.656,0.1059999,-10.13123,-0.204,-0.914,-9.735583,-1.064,
-4.041096,-10.19241,-0.408638,-1.217411,-11.01,0.007724524,-1.217411,-11.01,0.007724524,-1.424,-10.56901,0.656,0.1059999,-10.1319,-0.204,-0.914,-9.73623,-1.064,
-4.041095,-10.1924,-0.4086249,-1.217411,-11.01,0.007724524,-1.217411,-11.01,0.007724524,-1.424,-10.56905,0.656,0.1059999,-10.13258,-0.204,-0.914,-9.736894,-1.064,
-4.041071,-10.19234,-0.4086773,-1.217411,-11.01,0.007724524,-1.217411,-11.01,0.007724524,-1.424,-10.56904,0.656,0.1059999,-10.13327,-0.204,-0.914,-9.737571,-1.064,
-4.041173,-10.19247,-0.4087203,-1.217411,-11.01,0.007724524,-1.217411,-11.01,0.007724524,-1.424,-10.56898,0.656,0.1059999,-10.13397,-0.204,-0.914,-9.738258,-1.064,
-4.041148,-10.19242,-0.4086301,-1.217411,-11.01,0.007724524,-1.217411,-11.01,0.007724524,-1.424,-10.56881,0.656,0.1059999,-10.13501,-0.204,-0.914,-9.739301,-1.064,
-4.041154,-10.1924,-0.4086201,-1.217411,-11.01,0.007724524,-1.217411,-11.01,0.007724524,-1.424,-10.56863,0.656,0.1059999,-10.13571,-0.204,-0.914,-9.739999,-1.064,
-4.041022,-10.19232,-0.4087741,-1.217411,-11.01,0.007724524,-1.217411,-11.01,0.007724524,-1.424,-10.56841,0.656,0.1059999,-10.1364,-0.204,-0.914,-9.740695,-1.064,
-4.041091,-10.19239,-0.4088762,-1.217411,-11.01,0.007724524,-1.217411,-11.01,0.007724524,-1.424,-10.56814,0.656,0.1059999,-10.13708,-0.204,-0.914,-9.741386,-1.064,
-4.041123,-10.19237,-0.4089019,-1.217411,-11.01,0.007724524,-1.217411,-11.01,0.007724524,-1.424,-10.56799,0.656,0.1059999,-10.13741,-0.204,-0.914,-9.741729,-1.064,
-4.041157,-10.19238,-0.40887,-1.217411,-11.01,0.007724524,-1.217411,-11.01,0.007724524,-1.424,-10.56747,0.656,0.1059999,-10.13839,-0.204,-0.914,-9.742741,-1.064,
-4.041106,-10.19227,-0.4089124,-1.217411,-11.01,0.007724524,-1.217411,-11.01,0.007724524,-1.424,-10.56707,0.656,0.1059999,-10.13902,-0.204,-0.914,-9.743397,-1.064,
-4.041112,-10.19224,-0.4089496,-1.217411,-11.01,0.007724524,-1.217411,-11.01,0.007724524,-1.424,-10.56664,0.656,0.1059999,-10.13963,-0.204,-0.914,-9.744035,-1.064,
-4.041068,-10.19217,-0.4090827,-1.217411,-11.01,0.007724524,-1.217411,-11.01,0.007724524,-1.424,-10.56616,0.656,0.1059999,-10.14021,-0.204,-0.914,-9.744651,-1.064,
-4.041059,-10.19211,-0.4091117,-1.217411,-11.01,0.007724524,-1.217411,-11.01,0.007724524,-1.424,-10.56565,0.656,0.1059999,-10.14077,-0.204,-0.914,-9.745243,-1.064,
-4.041065,-10.19208,-0.4091284,-1.217411,-11.01,0.007724524,-1.217411,-11.01,0.007724524,-1.424,-10.56511,0.656,0.1059999,-10.14129,-0.204,-0.914,-9.745809,-1.064,
-4.041106,-10.19211,-0.4090998,-1.217411,-11.01,0.007724524,-1.217411,-11.01,0.007724524,-1.424,-10.56455,0.656,0.1059999,-10.14178,-0.204,-0.914,-9.746344,-1.064,
-4.041134,-10.19211,-0.409086,-1.217411,-11.01,0.007724524,-1.217411,-11.01,0.007724524,-1.424,-10.56364,0.656,0.1059999,-10.14245,-0.204,-0.914,-9.747085,-1.064,
-4.041183,-10.19212,-0.4091394,-1.217411,-11.01,0.007724524,-1.217411,-11.01,0.007724524,-1.424,-10.56301,0.656,0.1059999,-10.14284,-0.204,-0.914,-9.747533,-1.064,
-4.041153,-10.19205,-0.4092057,-1.217411,-11.01,0.007724524,-1.217411,-11.01,0.007724524,-1.424,-10.56236,0.656,0.1059999,-10.1432,-0.204,-0.914,-9.747944,-1.064,
-4.041156,-10.19204,-0.4092195,-1.217411,-11.01,0.007724524,-1.217411,-11.01,0.007724524,-1.424,-10.56136,0.656,0.1059999,-10.14365,-0.204,-0.914,-9.748484,-1.064,
-4.041187,-10.19201,-0.4094276,-1.217411,-11.01,0.007724524,-1.217411,-11.01,0.007724524,-1.424,-10.56067,0.656,0.1059999,-10.14389,-0.204,-0.914,-9.748791,-1.064,
