Position_HeadSet_x,Position_HeadSet_y,Position_HeadSet_z,Position_Right_x,Position_Right_y,Position_Right_z,Position_Left_x,Position_Left_y,Position_Left_z,E_x,E_y,E_z,V_x,V_y,V_z,E_x,E_y,E_z,
-3.255598,-9.533808,-0.02578713,-2.888791,-10.12133,0.06106603,-1.217411,-11.01,0.007724524,-2.444,-10.56534,-0.634,-1.424,-9.891938,1.086,-2.444,-10.29152,1.086,
-3.255547,-9.536345,-0.02822424,-2.88206,-10.08764,0.06856275,-1.217411,-11.01,0.007724524,-2.444,-10.57323,-0.634,-1.424,-9.894825,1.086,-2.444,-10.30116,1.086,
-3.255074,-9.538261,-0.03025617,-2.878107,-10.06793,0.06532824,-1.217411,-11.01,0.007724524,-2.444,-10.57178,-0.634,-1.424,-9.896752,1.086,-2.444,-10.30039,1.086,
-3.254647,-9.540061,-0.0327871,-2.874667,-10.05473,0.05892527,-1.217411,-11.01,0.007724524,-2.444,-10.57066,-0.634,-1.424,-9.897925,1.086,-2.444,-10.29966,1.086,
-3.254171,-9.542672,-0.03543402,-2.870559,-10.04451,0.05045688,-1.217411,-11.01,0.007724524,-2.444,-10.56943,-0.634,-1.424,-9.898982,1.086,-2.444,-10.29877,1.086,
-3.253927,-9.545306,-0.03878762,-2.866244,-10.0364,0.03827536,-1.217411,-11.01,0.007724524,-2.444,-10.56812,-0.634,-1.424,-9.899901,1.086,-2.444,-10.29775,1.086,
-3.253857,-9.547721,-0.04094936,-2.863283,-10.02937,0.02663589,-1.217411,-11.01,0.007724524,-2.444,-10.56675,-0.634,-1.424,-9.900665,1.086,-2.444,-10.2966,1.086,
-3.253953,-9.549239,-0.04093792,-2.86203,-10.01993,0.01925588,-1.217411,-11.01,0.007724524,-2.444,-10.56536,-0.634,-1.424,-9.90126,1.086,-2.444,-10.29535,1.086,
-3.253594,-9.549093,-0.03841378,-2.862546,-10.00693,0.01569498,-1.217411,-11.01,0.007724524,-2.444,-10.56362,-0.634,-1.424,-9.901747,1.086,-2.444,-10.29369,1.086,
-3.253354,-9.548703,-0.03541924,-2.863486,-9.995689,0.01852906,-1.217411,-11.01,0.007724524,-2.444,-10.56194,-0.634,-1.424,-9.901936,1.086,-2.444,-10.29196,1.086,
-3.25297,-9.548133,-0.03230287,-2.863267,-9.984623,0.01742184,-1.217411,-11.01,0.007724524,-2.444,-10.56066,-0.634,-1.424,-9.901868,1.086,-2.444,-10.29056,1.086,
-3.252706,-9.54778,-0.02887751,-2.862056,-9.973074,0.0144726,-1.217411,-11.01,0.007724524,-2.444,-10.55948,-0.634,-1.424,-9.901608,1.086,-2.444,-10.28919,1.086,
-3.252807,-9.547885,-0.02652134,-2.860604,-9.961798,0.01177943,-1.217411,-11.01,0.007724524,-2.444,-10.55841,-0.634,-1.424,-9.901158,1.086,-2.444,-10.28786,1.086,
-3.252843,-9.547985,-0.02247311,-2.858455,-9.94951,0.007466435,-1.217411,-11.01,0.007724524,-2.444,-10.55769,-0.634,-1.424,-9.900703,1.086,-2.444,-10.2869,1.086,
-3.252541,-9.548002,-0.01940276,-2.854756,-9.936537,0.002828956,-1.217411,-11.01,0.007724524,-2.444,-10.55706,-0.634,-1.424,-9.900152,1.086,-2.444,-10.286,1.086,
