Position_HeadSet_x,Position_HeadSet_y,Position_HeadSet_z,Position_Right_x,Position_Right_y,Position_Right_z,Position_Left_x,Position_Left_y,Position_Left_z,E_x,E_y,E_z,R_x,R_y,R_z,A_x,A_y,A_z,
-4.468585,-10.36865,0.06201254,-1.217411,-11.01,0.007724524,-1.217411,-11.01,0.007724524,-0.914,-10.34361,-1.064,-1.934,-10.16067,0.226,-1.424,-9.776145,-1.064,
-4.467582,-10.36837,0.06242095,-1.217411,-11.01,0.007724524,-1.217411,-11.01,0.007724524,-0.914,-10.33431,-1.064,-1.934,-10.15382,0.226,-1.424,-9.766851,-1.064,
-4.467607,-10.36838,0.06261383,-1.217411,-11.01,0.007724524,-1.217411,-11.01,0.007724524,-0.914,-10.33491,-1.064,-1.934,-10.1549,0.226,-1.424,-9.766428,-1.064,
-4.467983,-10.36854,0.06239925,-1.217411,-11.01,0.007724524,-1.217411,-11.01,0.007724524,-0.914,-10.33528,-1.064,-1.934,-10.15548,0.226,-1.424,-9.766287,-1.064,
-4.468111,-10.36857,0.06236683,-1.217411,-11.01,0.007724524,-1.217411,-11.01,0.007724524,-0.914,-10.3359,-1.064,-1.934,-10.1564,0.226,-1.424,-9.766166,-1.064,
-4.469055,-10.36875,0.06208669,-1.217411,-11.01,0.007724524,-1.217411,-11.01,0.007724524,-0.914,-10.33637,-1.064,-1.934,-10.15704,0.226,-1.424,-9.766145,-1.064,
-4.468357,-10.36861,0.06228028,-1.217411,-11.01,0.007724524,-1.217411,-11.01,0.007724524,-0.914,-10.33687,-1.064,-1.934,-10.1577,0.226,-1.424,-9.766173,-1.064,
-4.468184,-10.36859,0.06221233,-1.217411,-11.01,0.007724524,-1.217411,-11.01,0.007724524,-0.914,-10.3374,-1.064,-1.934,-10.15837,0.226,-1.424,-9.766251,-1.064,
-4.468783,-10.36876,0.06202768,-1.217411,-11.01,0.007724524,-1.217411,-11.01,0.007724524,-0.914,-10.33796,-1.064,-1.934,-10.15906,0.226,-1.424,-9.766376,-1.064,
-4.468539,-10.36864,0.06228088,-1.217411,-11.01,0.007724524,-1.217411,-11.01,0.007724524,-0.914,-10.33855,-1.064,-1.934,-10.15975,0.226,-1.424,-9.766549,-1.064,
-4.469682,-10.36878,0.06192337,-1.217411,-11.01,0.007724524,-1.217411,-11.01,0.007724524,-0.914,-10.33885,-1.064,-1.934,-10.1601,0.226,-1.424,-9.766653,-1.064,
-4.46922,-10.36863,0.0621147,-1.217411,-11.01,0.007724524,-1.217411,-11.01,0.007724524,-0.914,-10.3398,-1.064,-1.934,-10.16115,0.226,-1.424,-9.767034,-1.064,
-4.469264,-10.36851,0.06219576,-1.217411,-11.01,0.007724524,-1.217411,-11.01,0.007724524,-0.914,-10.34045,-1.064,-1.934,-10.16184,0.226,-1.424,-9.767344,-1.064,
-4.469346,-10.36851,0.06222437,-1.217411,-11.01,0.007724524,-1.217411,-11.01,0.007724524,-0.914,-10.34112,-1.064,-1.934,-10.16253,0.226,-1.424,-9.767695,-1.064,
-4.468782,-10.36846,0.06246208,-1.217411,-11.01,0.007724524,-1.217411,-11.01,0.007724524,-0.914,-10.3418,-1.064,-1.934,-10.16321,0.226,-1.424,-9.768089,-1.064,
-4.468127,-10.36822,0.06274329,-1.217411,-11.01,0.007724524,-1.217411,-11.01,0.007724524,-0.914,-10.34249,-1.064,-1.934,-10.16388,0.226,-1.424,-9.768522,-1.064,
-4.468211,-10.36834,0.06265949,-1.217411,-11.01,0.007724524,-1.217411,-11.01,0.007724524,-0.914,-10.34284,-1.064,-1.934,-10.16421,0.226,-1.424,-9.768753,-1.064,
-4.468527,-10.36843,0.06209265,-1.217411,-11.01,0.007724524,-1.217411,-11.01,0.007724524,-0.914,-10.34354,-1.064,-1.934,-10.16485,0.226,-1.424,-9.76924,-1.064,
-4.467311,-10.36818,0.06235634,-1.217411,-11.01,0.007724524,-1.217411,-11.01,0.007724524,-0.914,-10.34424,-1.064,-1.934,-10.16548,0.226,-1.424,-9.769762,-1.064,
-4.46732,-10.36837,0.06220911,-1.217411,-11.01,0.007724524,-1.217411,-11.01,0.007724524,-0.914,-10.34493,-1.064,-1.934,-10.16608,0.226,-1.424,-9.770314,-1.064,
