Position_HeadSet_x,Position_HeadSet_y,Position_HeadSet_z,Position_Right_x,Position_Right_y,Position_Right_z,Position_Left_x,Position_Left_y,Position_Left_z,V826_x,V826_y,V826_z,R836_x,R836_y,R836_z,A554_x,A554_y,A554_z,
-2.655235,-9.508988,0.4776034,-2.496003,-10.23145,0.2389954,-1.217411,-11.01,0.007724524,-1.424,-10.25204,-0.634,-2.444,-9.907819,1.086,-0.404,-9.630549,-1.064,
-2.657035,-9.509706,0.4750317,-2.511887,-10.23522,0.2265375,-1.217411,-11.01,0.007724524,-1.424,-10.25272,-0.634,-2.444,-9.910537,1.086,-0.404,-9.632343,-1.064,
-2.659118,-9.510522,0.4720259,-2.527949,-10.2392,0.2164754,-1.217411,-11.01,0.007724524,-1.424,-10.25261,-0.634,-2.444,-9.912136,1.086,-0.404,-9.632827,-1.064,
-2.661059,-9.510105,0.4694449,-2.541618,-10.24188,0.2079003,-1.217411,-11.01,0.007724524,-1.424,-10.25207,-0.634,-2.444,-9.914177,1.086,-0.404,-9.633012,-1.064,
-2.662624,-9.509808,0.467469,-2.553949,-10.24359,0.2011487,-1.217411,-11.01,0.007724524,-1.424,-10.25132,-0.634,-2.444,-9.915919,1.086,-0.404,-9.632833,-1.064,
-2.664358,-9.510033,0.4658546,-2.562016,-10.24413,0.1973525,-1.217411,-11.01,0.007724524,-1.424,-10.2503,-0.634,-2.444,-9.917644,1.086,-0.404,-9.632356,-1.064,
-2.665992,-9.511115,0.4638749,-2.567731,-10.24421,0.1948649,-1.217411,-11.01,0.007724524,-1.424,-10.24932,-0.634,-2.444,-9.918974,1.086,-0.404,-9.631767,-1.064,
-2.667265,-9.512258,0.4621534,-2.571527,-10.24355,0.1934202,-1.217411,-11.01,0.007724524,-1.424,-10.2482,-0.634,-2.444,-9.920233,1.086,-0.404,-9.63101,-1.064,
-2.669354,-9.513535,0.4595723,-2.568442,-10.2374,0.1894,-1.217411,-11.01,0.007724524,-1.424,-10.24699,-0.634,-2.444,-9.921396,1.086,-0.404,-9.630096,-1.064,
-2.67162,-9.515856,0.4572859,-2.557433,-10.22525,0.1808454,-1.217411,-11.01,0.007724524,-1.424,-10.24535,-0.634,-2.444,-9.922681,1.086,-0.404,-9.628763,-1.064,
-2.673161,-9.51818,0.4561262,-2.543693,-10.21045,0.1728452,-1.217411,-11.01,0.007724524,-1.424,-10.24364,-0.634,-2.444,-9.923742,1.086,-0.404,-9.627254,-1.064,
-2.67432,-9.519502,0.4553714,-2.529575,-10.19555,0.1697472,-1.217411,-11.01,0.007724524,-1.424,-10.24224,-0.634,-2.444,-9.924408,1.086,-0.404,-9.625953,-1.064,
-2.675369,-9.521288,0.4543107,-2.513165,-10.18062,0.1727136,-1.217411,-11.01,0.007724524,-1.424,-10.2412,-0.634,-2.444,-9.924791,1.086,-0.404,-9.624938,-1.064,
-2.67706,-9.523526,0.4531071,-2.496599,-10.16621,0.1815459,-1.217411,-11.01,0.007724524,-1.424,-10.23984,-0.634,-2.444,-9.92514,1.086,-0.404,-9.623553,-1.064,
-2.679076,-9.526164,0.4507692,-2.481821,-10.15044,0.190136,-1.217411,-11.01,0.007724524,-1.424,-10.23853,-0.634,-2.444,-9.925299,1.086,-0.404,-9.622158,-1.064,
-2.681358,-9.528943,0.4487753,-2.470079,-10.13487,0.1878806,-1.217411,-11.01,0.007724524,-1.424,-10.23731,-0.634,-2.444,-9.925261,1.086,-0.404,-9.62078,-1.064,
-2.683567,-9.531379,0.4466095,-2.465836,-10.12424,0.1777334,-1.217411,-11.01,0.007724524,-1.424,-10.23593,-0.634,-2.444,-9.924944,1.086,-0.404,-9.619122,-1.064,
-2.686613,-9.5333,0.443166,-2.470745,-10.12024,0.1600484,-1.217411,-11.01,0.007724524,-1.424,-10.23498,-0.634,-2.444,-9.924479,1.086,-0.404,-9.617877,-1.064,
-2.689094,-9.53476,0.4407647,-2.482678,-10.12091,0.1423811,-1.217411,-11.01,0.007724524,-1.424,-10.23417,-0.634,-2.444,-9.923834,1.086,-0.404,-9.616734,-1.064,
-2.691814,-9.535411,0.4378642,-2.500508,-10.1264,0.1265281,-1.217411,-11.01,0.007724524,-1.424,-10.2334,-0.634,-2.444,-9.922797,1.086,-0.404,-9.615478,-1.064,
-2.694496,-9.536039,0.4349785,-2.519314,-10.13556,0.1185375,-1.217411,-11.01,0.007724524,-1.424,-10.23291,-0.634,-2.444,-9.921533,1.086,-0.404,-9.61445,-1.064,
-2.696746,-9.536469,0.432099,-2.535054,-10.14356,0.1144404,-1.217411,-11.01,0.007724524,-1.424,-10.23273,-0.634,-2.444,-9.920079,1.086,-0.404,-9.613684,-1.064,
-2.699298,-9.53654,0.4301333,-2.551251,-10.14894,0.1098709,-1.217411,-11.01,0.007724524,-1.424,-10.23279,-0.634,-2.444,-9.91881,1.086,-0.404,-9.613274,-1.064,
-2.701417,-9.536527,0.4281831,-2.569514,-10.15392,0.1039603,-1.217411,-11.01,0.007724524,-1.424,-10.23305,-0.634,-2.444,-9.917472,1.086,-0.404,-9.613053,-1.064,
-2.702865,-9.536478,0.4265709,-2.587478,-10.15806,0.09923279,-1.217411,-11.01,0.007724524,-1.424,-10.2335,-0.634,-2.444,-9.916092,1.086,-0.404,-9.613027,-1.064,
-2.704257,-9.536707,0.4253547,-2.602831,-10.16022,0.09575236,-1.217411,-11.01,0.007724524,-1.424,-10.23413,-0.634,-2.444,-9.914697,1.086,-0.404,-9.613194,-1.064,
-2.706298,-9.536846,0.4238582,-2.616902,-10.1611,0.09226501,-1.217411,-11.01,0.007724524,-1.424,-10.23492,-0.634,-2.444,-9.913314,1.086,-0.404,-9.613553,-1.064,
-2.7087,-9.536633,0.4228609,-2.629927,-10.16063,0.08857715,-1.217411,-11.01,0.007724524,-1.424,-10.23613,-0.634,-2.444,-9.911642,1.086,-0.404,-9.61426,-1.064,
-2.709828,-9.536596,0.4223337,-2.645347,-10.16071,0.08486831,-1.217411,-11.01,0.007724524,-1.424,-10.23724,-0.634,-2.444,-9.910383,1.086,-0.404,-9.615017,-1.064,
-2.711828,-9.535847,0.4225094,-2.657811,-10.16034,0.08290434,-1.217411,-11.01,0.007724524,-1.424,-10.23878,-0.634,-2.444,-9.908947,1.086,-0.404,-9.616181,-1.064,
-2.712588,-9.535563,0.4226611,-2.669101,-10.16042,0.08186901,-1.217411,-11.01,0.007724524,-1.424,-10.24009,-0.634,-2.444,-9.907935,1.086,-0.404,-9.617264,-1.064,
-2.712661,-9.535296,0.4224789,-2.676994,-10.16128,0.08216703,-1.217411,-11.01,0.007724524,-1.424,-10.24181,-0.634,-2.444,-9.906874,1.086,-0.404,-9.618773,-1.064,
-2.712668,-9.534992,0.4224674,-2.683027,-10.16328,0.08515966,-1.217411,-11.01,0.007724524,-1.424,-10.2432,-0.634,-2.444,-9.906208,1.086,-0.404,-9.620074,-1.064,
-2.711693,-9.534648,0.4230965,-2.679152,-10.16355,0.09276688,-1.217411,-11.01,0.007724524,-1.424,-10.24527,-0.634,-2.444,-9.905545,1.086,-0.404,-9.622126,-1.064,
-2.710059,-9.534361,0.4234977,-2.668765,-10.16206,0.1021966,-1.217411,-11.01,0.007724524,-1.424,-10.24691,-0.634,-2.444,-9.905317,1.086,-0.404,-9.623869,-1.064,
-2.707527,-9.533445,0.4242691,-2.657748,-10.15988,0.110893,-1.217411,-11.01,0.007724524,-1.424,-10.24813,-0.634,-2.444,-9.905354,1.086,-0.404,-9.625247,-1.064,
-2.704345,-9.531996,0.4256763,-2.648931,-10.15948,0.116731,-1.217411,-11.01,0.007724524,-1.424,-10.24951,-0.634,-2.444,-9.905672,1.086,-0.404,-9.626905,-1.064,
-2.699059,-9.529992,0.4283541,-2.635973,-10.1627,0.1243285,-1.217411,-11.01,0.007724524,-1.424,-10.25047,-0.634,-2.444,-9.906137,1.086,-0.404,-9.62815,-1.064,
-2.693962,-9.528605,0.4328887,-2.625256,-10.16382,0.1263276,-1.217411,-11.01,0.007724524,-1.424,-10.25177,-0.634,-2.444,-9.907375,1.086,-0.404,-9.630073,-1.064,
-2.690498,-9.526591,0.4361014,-2.613582,-10.16267,0.1269823,-1.217411,-11.01,0.007724524,-1.424,-10.25246,-0.634,-2.444,-9.908814,1.086,-0.404,-9.631392,-1.064,
-2.68845,-9.525481,0.4375107,-2.603179,-10.16228,0.1298709,-1.217411,-11.01,0.007724524,-1.424,-10.25268,-0.634,-2.444,-9.909936,1.086,-0.404,-9.63207,-1.064,
-2.686574,-9.52435,0.4387641,-2.593665,-10.16279,0.1318516,-1.217411,-11.01,0.007724524,-1.424,-10.25269,-0.634,-2.444,-9.911482,1.086,-0.404,-9.632668,-1.064,
-2.683841,-9.522408,0.4421754,-2.583419,-10.16384,0.1353987,-1.217411,-11.01,0.007724524,-1.424,-10.25248,-0.634,-2.444,-9.912805,1.086,-0.404,-9.632936,-1.064,
-2.681914,-9.520041,0.4450989,-2.573112,-10.1649,0.1408645,-1.217411,-11.01,0.007724524,-1.424,-10.25194,-0.634,-2.444,-9.914524,1.086,-0.404,-9.633,-1.064,
-2.68017,-9.517406,0.4472579,-2.563059,-10.16502,0.1449602,-1.217411,-11.01,0.007724524,-1.424,-10.25113,-0.634,-2.444,-9.916267,1.086,-0.404,-9.632761,-1.064,
-2.679146,-9.515448,0.4492472,-2.552171,-10.16409,0.1473731,-1.217411,-11.01,0.007724524,-1.424,-10.2503,-0.634,-2.444,-9.917644,1.086,-0.404,-9.632356,-1.064,
