Position_HeadSet_x,Position_HeadSet_y,Position_HeadSet_z,Position_Right_x,Position_Right_y,Position_Right_z,Position_Left_x,Position_Left_y,Position_Left_z
-1.217411,-11.01,0.007724524,-0.9674108,-10.01,0.007724524,-1.467411,-10.01,0.007724524
-3.996875,-10.18472,-0.4348075,-0.9674108,-10.01,0.007724524,-1.467411,-10.01,0.007724524
-3.9968,-10.18502,-0.4346786,-4.194205,-10.2607,-0.4739724,-4.134904,-10.25271,-0.31138
-3.996879,-10.18491,-0.4347064,-4.194185,-10.26067,-0.4737426,-4.135116,-10.25288,-0.3111457
-3.996886,-10.18491,-0.4347732,-4.193976,-10.26085,-0.473843,-4.135036,-10.25307,-0.3111638
-3.99686,-10.18491,-0.434983,-4.19399,-10.26075,-0.473931,-4.134755,-10.2531,-0.3111101
-3.996838,-10.18485,-0.4348764,-4.194027,-10.26089,-0.4739753,-4.134841,-10.25308,-0.3110229
-3.996867,-10.18483,-0.4348049,-4.194158,-10.26056,-0.4740468,-4.134983,-10.25298,-0.3109275
-3.996925,-10.18493,-0.4348936,-4.194228,-10.26082,-0.4745032,-4.135095,-10.25321,-0.3110036
-3.996833,-10.18499,-0.4349937,-4.194292,-10.26082,-0.4745806,-4.135168,-10.25319,-0.311036
-3.996753,-10.18489,-0.4349134,-4.19403,-10.2609,-0.4745177,-4.134809,-10.25307,-0.3109647
-3.996839,-10.18499,-0.4348185,-4.194099,-10.26071,-0.4744588,-4.134911,-10.25313,-0.3109823
-3.996841,-10.18493,-0.4346941,-4.194145,-10.26054,-0.4741434,-4.135005,-10.25328,-0.3107172
-3.996932,-10.18495,-0.4347358,-4.194184,-10.26049,-0.4743105,-4.135088,-10.25325,-0.3107694
-3.996872,-10.18489,-0.4345438,-4.194131,-10.26045,-0.4740542,-4.135052,-10.25307,-0.3106915
-3.996816,-10.18487,-0.4346187,-4.194088,-10.26045,-0.4741019,-4.135056,-10.25308,-0.3107482
-3.996847,-10.18485,-0.4345927,-4.194116,-10.26036,-0.4740587,-4.135099,-10.25324,-0.3104886
-3.996798,-10.18476,-0.434613,-4.194028,-10.26046,-0.4740201,-4.134962,-10.25309,-0.310814
-3.996755,-10.18474,-0.4347148,-4.194039,-10.26058,-0.474034,-4.134966,-10.25307,-0.310871
-3.996784,-10.18478,-0.4348128,-4.194077,-10.26062,-0.4739877,-4.135031,-10.25308,-0.3108073
-3.996857,-10.18482,-0.4348752,-4.194156,-10.26071,-0.4739887,-4.135079,-10.2531,-0.3108507
-3.996807,-10.1848,-0.4349489,-4.194062,-10.26077,-0.4739093,-4.134931,-10.25306,-0.3108679
-3.996834,-10.18489,-0.4348896,-4.194124,-10.26087,-0.4738222,-4.134939,-10.25307,-0.3109268
-3.996716,-10.1849,-0.4350259,-4.193975,-10.26093,-0.4736425,-4.134795,-10.25309,-0.3109361
-3.99684,-10.18489,-0.434849,-4.19416,-10.26077,-0.4735671,-4.135078,-10.2529,-0.3109943
-3.996901,-10.18487,-0.4347773,-4.194149,-10.26083,-0.4735459,-4.135005,-10.25301,-0.3111075
-3.996978,-10.18493,-0.4348376,-4.194129,-10.26103,-0.4736503,-4.135096,-10.25311,-0.3108207
-3.996909,-10.1849,-0.4348023,-4.194164,-10.26103,-0.4734536,-4.135003,-10.25288,-0.3111559
-3.996863,-10.1849,-0.4347429,-4.194151,-10.26098,-0.4733769,-4.134985,-10.25276,-0.3112448
-3.996932,-10.18494,-0.4348118,-4.194301,-10.26092,-0.4737598,-4.135131,-10.25283,-0.3114949
-3.996857,-10.1849,-0.434932,-4.19418,-10.26104,-0.473631,-4.135024,-10.25279,-0.3116122
