Position_HeadSet_x,Position_HeadSet_y,Position_HeadSet_z,Position_Right_x,Position_Right_y,Position_Right_z,Position_Left_x,Position_Left_y,Position_Left_z,E_x,E_y,E_z,V_x,V_y,V_z,E_x,E_y,E_z,
-2.49081,-9.48528,0.2608175,-2.264524,-10.18191,0.07097781,-1.217411,-11.01,0.007724524,-0.404,-10.53904,0.656,-1.424,-10.08314,-0.634,0.1059999,-10.24098,0.656,
-2.496899,-9.486637,0.258968,-2.271717,-10.1558,0.05373943,-1.217411,-11.01,0.007724524,-0.404,-10.53391,0.656,-1.424,-10.07969,-0.634,0.1059999,-10.23921,0.656,
-2.496027,-9.48562,0.2628598,-2.282603,-10.14449,0.03646374,-1.217411,-11.01,0.007724524,-0.404,-10.54028,0.656,-1.424,-10.07464,-0.634,0.1059999,-10.24565,0.656,
-2.496603,-9.486856,0.2637312,-2.288677,-10.13851,0.02832747,-1.217411,-11.01,0.007724524,-0.404,-10.54329,0.656,-1.424,-10.07343,-0.634,0.1059999,-10.24815,0.656,
-2.496005,-9.486921,0.2645288,-2.289149,-10.13188,0.0261308,-1.217411,-11.01,0.007724524,-0.404,-10.54562,0.656,-1.424,-10.07315,-0.634,0.1059999,-10.24979,0.656,
-2.496175,-9.487328,0.2654825,-2.287829,-10.12909,0.02691734,-1.217411,-11.01,0.007724524,-0.404,-10.54725,0.656,-1.424,-10.07354,-0.634,0.1059999,-10.25068,0.656,
-2.497258,-9.490438,0.2666757,-2.286912,-10.13266,0.03522635,-1.217411,-11.01,0.007724524,-0.404,-10.5485,0.656,-1.424,-10.07468,-0.634,0.1059999,-10.25098,0.656,
-2.497693,-9.493144,0.2674401,-2.278665,-10.13311,0.0536263,-1.217411,-11.01,0.007724524,-0.404,-10.54901,0.656,-1.424,-10.07622,-0.634,0.1059999,-10.2506,0.656,
-2.498868,-9.495518,0.2688047,-2.256391,-10.12032,0.08105576,-1.217411,-11.01,0.007724524,-0.404,-10.54891,0.656,-1.424,-10.07817,-0.634,0.1059999,-10.24966,0.656,
-2.500634,-9.496706,0.2708485,-2.221287,-10.08977,0.1089388,-1.217411,-11.01,0.007724524,-0.404,-10.5481,0.656,-1.424,-10.08075,-0.634,0.1059999,-10.24795,0.656,
-2.502785,-9.498893,0.2746444,-2.170394,-10.04502,0.1321901,-1.217411,-11.01,0.007724524,-0.404,-10.54657,0.656,-1.424,-10.08352,-0.634,0.1059999,-10.24571,0.656,
